degree_id,course_id,course,done
21,12406,Introductory Probability and Statistics II,yes
21,12665,Regression and Analysis of Variance,yes
21,12671,Applied Linear Statistical Models,yes
21,12681,Introduction to the SAS Computing,yes
21,12686,Introduction to R Computing,yes
21,12290,Introduction to Statistics,yes
21,12301,Biometrics I,yes
21,12309,Business and Economic Statistics I,yes
21,12668,Sample Survey Methods,yes
21,12675,Design of Experiments,yes
23,1162,Financial Accounting,yes
23,1164,Seminar in Managerial Accounting,yes
23,6175,Microeconomic Perspective for Managers,yes
23,6723,Managerial Finance,yes
23,8345,Decision Models for Business and Economics,yes
23,6177,Macroeconomic Perspective for Managers,yes
23,8346,Info Resources and IT Project Management,yes
23,9814,Management of Information in the Corporate Environment,yes
23,9815,Operations Management,yes
23,9816,Legal and Ethical Environment of Business,yes
23,9818,Seminar in Organizational Behavior and Administration,yes
23,10250,Marketing Management,yes
24,7345,HEALTH INFORMATICS MANAGEMENT,yes
24,7347,LEGAL ISSUES IN HEALTH INFORMATICS,yes
24,7350,HEALTH INFORMATION SYSTEMS,yes
24,7352,HEALTH RECORDS MANAGEMENT,yes
24,7354,CLINICAL ANALYTICS,yes
24,7358,HUMAN FACTORS AND USABILITY IN HEALTH INFORMATICS,yes
24,7363,STANDARDIZED TERMINOLOGIES IN HEALTHCARE,yes
24,7356,CLINICAL DECISION SUPPORT,yes
24,7357,CHANGE MANAGEMENT IN HEALTH INFORMATICS,yes
24,7359,HEALTH INFORMATICS INQUIRY AND ASSESSMENT,yes
24,7360,"ETHICS, POLITICS, & POLICY IN HEALTH INFORMATICS",yes
24,7361,PUBLIC HEALTH INFORMATICS,yes
24,7362,CLINICAL ANALYTICS 2,yes
24,7364,SEMINAR IN HEALTH INFORMATICS,yes
24,7366,INDIVIDUAL INVESTIGATION IN HEALTH INFORMATICS,yes
24,5919,PROJECT MANAGEMENT & TEAM DYNAMICS,yes
24,8613,FOUNDATIONAL PRINCIPLES OF KNOWLEDGE MANAGEMENT,yes
24,8616,BUSINESS PROCESS MANAGEMENT,yes
24,8621,SEMANTIC ANALYSIS METHODS & TECHNOLOGIES,yes
24,13908,INFORMATION ARCHITECTURE,yes
24,4924,,yes
24,7367,MASTER'S INTERNSHIP IN HEALTH INFORMATICS,yes
24,7368,MASTER'S PROJECT IN HEALTH INFORMATICS,yes
24,7369,MASTER'S RESEARCH PAPER IN HEALTH INFORMATICS,yes
24,7370,THESIS,yes
24,7344,Health Informatics Management,yes
24,7349,Health Information Systems,yes
25,2703,Managerial Economics,yes
25,2704,Strategic Management and Decision-making,yes
25,2705,Statistics for Business,yes
25,2706,Financial Management,yes
25,2707,Project Management,yes
25,2708,Enterprise Risk Management,yes
25,2709,Organizational Behavior and Human Resources,yes
25,8907,Management,yes
25,2710,Advanced Marketing Methods,yes
25,10695,,yes
25,8772,Logistics and Supply Chain Management,yes
25,12084,,yes
25,2712,Logistics and Supply Chain Management,yes
25,2713,Warehouse & Inventory Management,yes
25,2714,"Transportation, Containerization and Distribution Networks",yes
25,10594,,yes
25,2715,Logistics IT and Information Management Systems,yes
25,7572,Human Resources Management Specialization,yes
25,2716,"Compensation, Reward and Recognition Systems ",yes
25,2717,Employee Recruitment and Selection Methods,yes
25,2718,HR Systems and Workforce Analytics,yes
25,2719,Employee Performance Management and Development Strategies,yes
25,12961,,yes
25,5179,Data Analytics Specialization,yes
25,2720,Data Management and Governance,yes
25,2721,Data Mining for Business,yes
25,2722,Spreadsheet Modeling and Simulation,yes
25,2723,Data Reporting and Visualization,yes
25,2971,Capstone Project,yes
25,2942,Capstone Project,yes
26,10368,MSAIA Curriculum Overview,yes
26,8852,IT Auditing,yes
26,8853,The Corporate Financial Reporting Environment,yes
26,8854,Forensic Accounting and Auditing,yes
26,8855,"Governance, Risk, and Control ",yes
26,8856,Reporting and Auditing Fair Value Estimates,yes
26,8857,Data Analytics for Accountants,yes
29,5052,Mathematics for Data Scientists,yes
29,5055,Machine Learning and Data Analysis I,yes
29,5065,Unstructured Data and Natural Language Processing,yes
29,5067,Machine Learning and Data Analysis II,yes
29,5068,Data Science Leadership and Entrepreneurism,yes
29,5047,Distributed and Scalable Date Engineering,yes
29,3849,Special Topics in Data Science,yes
29,5941,Data Science Industry Internship,yes
29,5945,Data Science Capstone Project,yes
30,5947,Healthcare Information Analysis,yes
30,5949,Leadership in Healthcare,yes
30,5951,Capstone Project,yes
30,5953,Healthcare Compliance,yes
30,5955,Healthcare Inform Network Sys,yes
30,5958,Database Architecture,yes
30,5962,Medical Vocab and Class Systems,yes
30,7409,Intro to Health Informatics,yes
30,7417,Project Management,yes
30,7431,Evaluation of Information System,yes
30,7397,EHR Infrastructure,yes
30,7398,Computerized Decision Support,yes
31,7399,Introduction to Programming,yes
31,7400,Programming for Data Science,yes
31,7403,Statistical Computing,yes
31,7404,Introduction to Data Science,yes
31,7406,Linear Statistical Models,yes
31,7407,Machine Learning,yes
31,7408,Data Science Project,yes
31,4397,Multimedia data analysis and mining,yes
31,4398,Data Visualization,yes
31,12169,Special Topics in Computer Science,yes
31,5775,Independent Study,yes
31,12170,Database Retrieval,yes
31,4399,Information Retrieval and Natural Language Processing,yes
31,5776,Multivariate Analysis,yes
31,4400,Generalized Linear Models and Multilevel Models,yes
31,4401,Bayesian Inference,yes
31,4402,Time Series,yes
31,4403,Special Topics in Statistics,yes
31,4404,Independent Study,yes
31,4405,Ethics and Social Responsibility,yes
31,12171,Enterprise Systems,yes
31,12172,Data Management and Database Systems,yes
31,12173,Advanced Analytics,yes
31,12174,Social Media and Web Mining,yes
31,12175,Project Management,yes
27,12176,Introduction to Data Mining and Analytics,yes
27,7016,Statistical Programming,yes
27,7017,Data Visualization,yes
27,7015,Large-Scale Data Storage Systems,yes
27,7019,Machine Learning,yes
27,7020,Mathematics for Data Science,yes
27,7018,Programming Fundamentals,yes
32,2648,Introduction to Business Analytics,yes
32,2649,Business Research,yes
32,2650,Data Mining,yes
32,2651,Business Analytics Simulation,yes
34,1815,,yes
34,4374,,yes
35,4369,Social and Information Network Analysis,yes
35,4370,Machine Learning,yes
35,4371,Mining Massive Data Sets,yes
35,4372,Information Retrieval and Web Search,yes
36,12923,Data Mining and Analysis,yes
36,12925,Introduction to Statistical Learning,yes
36,12922,Introduction to Applied Statistics,yes
36,12926,Introduction to Statistical Learning,yes
36,12927,Computing for Data Science,yes
36,12928,Modern Applied Statistics: Data Mining,yes
38,3269,Numerical Linear Algebra,yes
38,3270,Discrete Mathematics and Algorithms,yes
38,3271,,yes
38,3272,Stochastic Methods in Engineering,yes
38,11592,Randomized Algorithms and Probabilistic Analysis,yes
38,12897,Theory of Probability,yes
38,12894,Introduction to Statistical Inference,yes
38,10887,,yes
38,12895,Introduction to Regression Models and Analysis of Variance,yes
38,10888,Introduction to Statistical Modeling,yes
38,12898,Modern Applied Statistics,yes
38,12899,Modern Applied Statistics,yes
38,1368,,yes
38,3267,Advanced Software Development for Scientists and Engineers,yes
38,3268,"Introduction to parallel computing using MPI, openMP, and CUDA ",yes
38,3274,Distributed Algorithms and Optimization,yes
38,3275,Parallel Methods in Numerical Analysis,yes
38,3894,Parallel Computing,yes
38,3937,Advanced Multi-Core Systems,yes
38,3947,,yes
38,2288,Representations and Algorithms for Computational Molecular Biology,yes
38,2353,Data Driven Medicine,yes
38,2359,Modern Statistics for Modern Biology,yes
38,3920,Social and Information Network Analysis,yes
38,3923,Machine Learning,yes
38,3925,N Convolutional Neural Networks for Visual Recognition,yes
38,3929,Mining Massive Data Sets,yes
38,3993,Topics in Computer Graphics,yes
38,6137,Machine Learning and Causal Inference,yes
38,6474,Geostatistics,yes
38,10699,Business Intelligence from Big Data,yes
38,11458,Human Neuroimaging Methods,yes
38,12896,Computing for Data Science,yes
38,11712,,yes
41,9968,Computer-Based Patient Records,yes
41,8011,,yes
41,9971,Clinical Data Acquisition and Analysis,yes
41,8015,,yes
41,9972,Introduction to Health Informatics,yes
41,8016,,yes
41,9977,Health Informatics Seminar Series,yes
41,8011,,yes
41,9978,Research in Health Informatics,yes
41,13870,,yes
41,8010,,yes
41,9969,Medical Decision Support,yes
41,8017,,yes
41,9970,Health Informatics in Web-Based Enterprise,yes
41,8012,,yes
41,9973,Computer Security in Health Informatics,yes
41,8018,,yes
41,9974,Clinical Knowledge for the Health Informaticist,yes
41,8017,,yes
41,9975,Database and Knowledge Management,yes
41,8014,,yes
41,9976,Applied Progamming in Health Informatics,yes
41,8013,,yes
44,8183,Introduction to Predictive Analytics,yes
44,5541,Defining Business Goals for Predictive Analytics,yes
44,6331,Effective Data Preparation,yes
44,1416,"Algorithms, Modeling Methods, Verification & Validation ",yes
44,5558,Deploying and Refining Predictive Models,yes
44,12098,Sports Predictive Analytics,yes
44,2843,Business Intelligence Data Warehouse,yes
44,11175,Predictive HR and Workforce Analytics,yes
44,13258,Text Analytics & Text Mining,yes
44,2249,Big Data Analytics,yes
44,11584,R Programming,yes
44,7216,Hadoop: In Theory and Practice,yes
45,8196,Introduction to R Programming,yes
45,13261,Text Mining,yes
45,11510,Python for Informatics,yes
45,5287,Data Mining Practicum,yes
45,5291,Data Mining: Advanced Concepts and Algorithms,yes
45,5301,Data Preparation for Analytics,yes
45,6994,Fundamentals of Data Mining,yes
45,12883,Statistics for Data Analytics,yes
47,9955,"Professional Seminar,  ",yes
47,9956,"Business Analytics in Marketing, Finance, and Operations,  ",yes
47,9957,"Collecting and Analyzing Large Data,  ",yes
47,9958,"Business Analytics,  ",yes
47,9959,Business Analytics Capstone Project,yes
47,8759,,yes
47,9960,Customer Analytics,yes
47,9961,Supply Chain Analytics,yes
47,9962,Business Intelligence Systems,yes
47,9963,Experiments in Firms,yes
47,9964,Managerial Judgment and Decision Making,yes
47,9965,Business Analytics Project Management,yes
47,8760, ,yes
47,9913,Creativity and Innovation,yes
47,9914,Technology and Innovation Strategy,yes
47,9915,Research for Marketing Decisions,yes
47,9916,Consumer Behavior,yes
47,9917,Pricing,yes
47,9966,Business Forecasting,yes
47,9967,Behavioral Finance,yes
47,2965,Capstone Project,yes
47,9959,Business Analytics Capstone Project,yes
54,7232,Fundamentals of Healthcare Insurance Design,yes
54,7233,Comparative International Healthcare Systems,yes
54,7234,Competitive Healthcare Intelligence and Pricing,yes
54,7235,Foundations of Insurance and Global Access,yes
54,7236,Foundations of Product Development and Commercialization,yes
54,7237,Business Implications of Healthcare Reform,yes
54,7238,Medical Decision Analysis and Modeling,yes
54,7239,Health Economics and Outcomes Methodology,yes
54,7240,Healthcare Literature Analysis and Applications,yes
54,7241,Total Product Development,yes
54,7242,Executive Leadership and Healthcare Marketing,yes
54,7243,Healthcare Innovation: Creativity to Value,yes
54,7244,Advanced Pricing Strategies,yes
54,7245,Managing Effective Partnerships and Mergers,yes
54,7246,"Asia-Pacific: Access, Delivery, and Reimbursement ",yes
54,7247,Seminars in Healthcare Decision Analysis,yes
54,7248,Directed Research,yes
54,2965,Capstone Project,yes
56,6836,,yes
56,173,,yes
56,159,Relational Databases,yes
56,135,Linear Algebra for Data Science,yes
56,160,Research Methods for Data Science,yes
56,85,Analytics Computing for Data Science,yes
56,120,Frequentist Statistics,yes
56,11870,,yes
56,173,,yes
56,90,Bayesian Statistics,yes
56,166,Software Methods for Data Science,yes
56,142,NoSQL Databases,yes
56,129,Introduction to Data Visualization,yes
56,136,Machine Learning for Data Science,yes
56,104,Data Wrangling,yes
56,122,,yes
56,13428,,yes
56,173,,yes
56,101,Data Engineering for Data Science,yes
56,112,,yes
56,86,Analytics Storytelling,yes
56,6938,,yes
56,110,Dynamic Visualization,yes
56,172,Visual Storytelling,yes
56,94,Capstone,yes
58,8916,Management of Information Systems,yes
58,7924,Information Systems Strategic Planning,yes
58,13248,Telecommunications,yes
58,10688,Object Oriented Analysis & Design with UML,yes
58,11615,Relational Database Design,yes
58,2803,Business Ethics,yes
58,10031,,yes
58,12953,Strategic Management of Technology and Innovation,yes
58,13183,Systems Design,yes
58,13971,Website Development with HTML/JavaScript,yes
58,5524,Decision Support Systems,yes
58,6461,Emerging Technologies,yes
58,6766,Final Proctored Exam,yes
58,7141,Graduate Capstone,yes
59,3178,Business Intelligence,yes
59,3186,Applied Data Mining and Analytics in Business,yes
59,3188,Business Data Visualization,yes
59,10845,Business Database Systems,yes
60,7199,Math Skills for Statistical Analysis,yes
60,7200,Computing Skills for Statistical Analysis,yes
60,12390,Statistical Computer Packages,yes
60,12236,Regression Models and Applications,yes
60,12237,Generalized Regression Models,yes
60,12238,Probability with Applications,yes
60,12239,Mathematical Statistics with Applications,yes
60,12240,Quantitative Reasoning,yes
60,12241,Computational and Graphical Methods,yes
60,12242,Computational and Simulation Methods,yes
60,12243,Methods in Multivariate Analysis,yes
62,6833,,yes
62,13086,,yes
62,13087,,yes
62,13088,,yes
62,13089,,yes
62,13090,,yes
62,13091,,yes
67,2744,,yes
67,8980,,yes
67,10423,Survey of Business Analytics,yes
67,10429,Fundamentals of Data Analytics,yes
67,10421,Quantitative Methods,yes
67,10428,Structured Data Modeling & Analysis,yes
67,10433,Market Intelligence,yes
67,1754,Digital Advertising,yes
67,10424,Advanced Data Analytics,yes
67,10425,Unstructured & Distributed Data Modeling & Analysis,yes
67,10427,Customer Analytics,yes
67,1755,Applications of Advanced Statistics in Advertising,yes
67,10426,Experiential Projects Class,yes
67,2744,Business Analytics,yes
67,11878,Security Analytics Track,yes
67,10423,Survey of Business Analytics,yes
67,10429,Fundamentals of Data Analytics,yes
67,10428,Structured Data Modeling & Analysis,yes
67,10422,Quantitative Methods,yes
67,10432,Information Security Management,yes
67,13731,Internet Lab,yes
67,10424,Advanced Data Analytics,yes
67,10425,Unstructured & Distributed Data Modeling & Analysis,yes
67,13732,Network Security Lab,yes
67,228,Security Analytics w/Python,yes
67,2744,Business Analytics,yes
67,5521,,yes
67,10423,Survey of Business Analytics,yes
67,10429,Fundamentals of Data Analytics,yes
67,10421,Quantitative Methods,yes
67,10428,Structured Data Modeling & Analysis,yes
67,9483,Introduction to Mathematical Statistics,yes
67,9481,Intermediate Numerical Analysis 1,yes
67,10430,Advanced Data Analytics,yes
67,10431,Unstructured & Distributed Data Modeling & Analysis,yes
67,9484,Introduction to Time Series,yes
67,9482,Introduction to Operations Research,yes
67,10426,Experiential Projects Class,yes
67,5522,,yes
70,11177,Predictive Modeling,yes
70,12881,Statistics for Business Analytics,yes
70,10785,Operations Management,yes
70,11379,Project Management,yes
70,5504,Decision Analysis,yes
70,6866,Forecasting,yes
70,13135,Supply Chain Management,yes
70,8995,Marketing Research,yes
70,3528,Computing for Business Analytics,yes
70,11993,Simulation Modeling,yes
70,13920,VBA for Business Analytics,yes
71,8406,Database Management Systems,yes
71,8408,Business Intelligence Systems and Analytics,yes
71,8407,Information Systems Management and Strategy,yes
71,8409,"Cloud Computing Concepts, Tools, and Applications",yes
71,8410,Information Systems Security and Privacy,yes
71,8411,IT Project Management,yes
71,8412,Text Data Analytics and Predictive Modeling,yes
71,8413,Data Warehouse and Administration,yes
71,8414,Business Intelligence in Healthcare,yes
71,8415,Business Intelligence and Financial Modeling,yes
71,8416,IT Governance and Service Management,yes
71,1946,Predictive Analytics,yes
72,8406,Database Management Systems,yes
72,8408,Business Intelligence Systems and Analytics,yes
72,8407,Information Systems Management and Strategy,yes
72,8409,"Cloud Computing Concepts, Tools, and Applications",yes
72,8410,Information Systems Security and Privacy,yes
72,8411,IT Project Management,yes
72,8412,Text Data Analytics and Predictive Modeling,yes
72,8413,Data Warehouse and Administration,yes
72,8414,Business Intelligence in Healthcare,yes
72,8415,Business Intelligence and Financial Modeling,yes
72,8416,IT Governance and Service Management,yes
72,1946,Predictive Analytics,yes
74,7749,Business Intelligence,yes
74,7751,Business Databases,yes
74,7750,Python for Business Analytics,yes
74,12369,Business Statistics,yes
74,7761,Optimization,yes
74,7752,Capstone Planning,yes
74,7753,Data Warehousing,yes
74,7754,Project Management,yes
74,7755,Predictive Analytics,yes
74,7756,Data Mining & Visualization,yes
74,7757,Complex Data Analytics,yes
74,7758,Decision Processes,yes
74,7759,Capstone,yes
74,7760,Health Informatics,yes
74,7763,Automated Data Analytics,yes
74,7762,Automated Data Analytics,yes
75,12436,Multivariate Analysis for Data Mining,yes
75,12439,Introduction to Data Mining,yes
75,12442,Clustering and Affinity Analysis,yes
75,12447,Predictive Analytics,yes
75,12455,Data Mining for Genomics and Proteomics,yes
75,12459,Text Mining,yes
75,4111,Machine Learning,yes
75,4125,Topics in Database Systems and Applications: Data Mining,yes
75,12362,Experimental Design,yes
75,12365,Fundamentals of SAS,yes
75,12372,Nonparametric Statistics,yes
75,12450,Web Mining,yes
75,12463,Current Issues in Data Mining,yes
75,12476,Applied Categorical Data Analysis,yes
76,12440,Introduction to Data Mining,yes
76,12443,Data Mining Methods and Models,yes
76,12446,Applied Data Mining,yes
76,12449,Web Mining,yes
76,12454,Data Mining for Genomics and Proteomics,yes
76,12458,Text Mining,yes
76,12462,Current Issues in Data Mining,yes
80,7459,,yes
80,7460,Health Database Design and Management,yes
80,7465,Healthcare Information System and Management,yes
80,7468,Health Data Mining,yes
84,144,,yes
84,8139,Introduction to Data Analytics,yes
84,9014,Massive Data Fundamentals,yes
84,11809,Scientific and Analytical Visualization,yes
84,11286,Probabilistic Modeling and Statistical Computing,yes
84,12838,Statistical Learning for Analytics,yes
84,6333,Effective Presentation for Technology & Science,yes
84,12978,Structures and Algorithms for Analytics,yes
84,10809,Optimization,yes
84,10584,Natural Language Processing for Data Analytics,yes
84,10596,Neural Networks and Deep Learning,yes
84,1355,Advanced Pattern Recognition,yes
84,1619,,yes
84,2314,Bioinformatics for Omics Data,yes
84,8087,Intro to Social Network Analysis,yes
84,7678,Image Processing,yes
84,5302,Data Privacy,yes
84,12841,Statistical Machine Learning,yes
84,13968,Web Search and Sense-making,yes
84,9517,,yes
84,9519,Mathematics of Social Networks,yes
84,12941,Stochastic Simulation,yes
84,1988,Bayesian Statistics,yes
84,2992,Categorical Data Analysis,yes
86,14056,,yes
86,14057,,yes
86,14070,,yes
86,14069,,yes
87,4933,,yes
87,7402,Introduction to Health and Health Informatics,yes
87,7433,Legal and Ethical Aspects of Health Care,yes
87,7443,Healthcare Project Management,yes
87,7444,Healthcare Information Management,yes
87,7445,Healthcare Data Visualization,yes
87,7446,Concepts in Health Informatics,yes
87,7447,Electronic Health Records and Clinical Support Systems,yes
87,7448,Consumer Health Informatics,yes
87,7449,Healthcare Database Systems,yes
87,8374,Business Process Design,yes
87,8382,Information Security & Compliance,yes
87,11539,Business Analysis for Decision Making,yes
87,11329,Professional Development Seminars,yes
90,3052,Orientation to Biomedical Informatics,yes
90,12177,Survey of Medical Informatic,yes
90,3064,Information Systems Project Management in Health Care,yes
90,3065,Database Systems in Health Care,yes
90,6471,Information Security in Health Care,yes
90,3587,Telecommunications and Computer Networking in Health Care,yes
90,1214,System Analysis and Design for Health Car,yes
90,3588,Leadership Management and Organizational Behavior in Informatics,yes
90,8895,Lean Six Sigma Yellow Belt for Health Care,yes
90,8902,Computational Informatics,yes
90,3286,Biomedical Informatics Practicum,yes
90,3285,Medical Terminology,yes
90,3284,Health Care Organization and Administration,yes
90,8772,Foundations of Computing in health Care,yes
90,8896,Foundations of Software in Healthcare,yes
90,8898,Management Information Systems in Health Care,yes
90,8900,Human Computer Interaction in Health Care Settings,yes
90,8903,Clinical Decisions Support Systems,yes
90,11568,Program Evaluation in Health Information Technology,yes
90,3128,Biostatistics,yes
90,6128,Epidemiology,yes
90,6232,Special Topics in Health Informatics,yes
90,2925,Public Health Informatics,yes
90,1802,Grant Writing,yes
90,2926,"Health Policy, Planning, and Management",yes
90,3128,Health Services Planning and Evaluation,yes
90,3586,Consumer Health Informatics,yes
90,3589,Health Information Technology Acquisition and Assessment,yes
90,3590,Leadership in Health Information Technology,yes
90,6530,Basic Skills for Clinical Analysts,yes
90,8842,Information Technologies in Medicine and Telehealth,yes
90,8897,Lean Six Sigma Green Belt for Health Care,yes
90,8899,App Development for Health Information Technology Projects,yes
90,8901,Medical Image Processing and Analysis,yes
90,8902,Geographical Information Systems: Fundamentals for Health Car,yes
90,1773,Workflows and Process Improvement in Health Care Settings,yes
90,1771,Maximizing Talents in the Health Technology Workforce,yes
90,1763,Introduction to Healthcare Analytics and Data Visualization,yes
90,11012,Healthcare Analytics and Data Visualization,yes
90,7626,Artificial Intelligence in Healthcare,yes
90,7562,Methods of Healthcare Analytics,yes
90,12041,Big Data Analysis in Healthcare,yes
90,6120,,yes
89,6122,,yes
89,1466,Foundations of Business Intelligence,yes
89,1465,Enterprise Data Management,yes
89,1467,Business Intelligence Technologies,yes
89,11998,Business Intelligence Analytics,yes
89,7624,Data Mining,yes
89,2532,Patterns and Recognition,yes
89,2533,Process Modeling and Analysis,yes
89,8841,Data Visualization and Creative Reporting,yes
89,13812,Business Intelligence Leadership & Communication Skills,yes
89,1630,Business Intelligence Case Studies,yes
89,13812,Business Intelligence Capstone,yes
94,11962,Survey of Health Information Management,yes
94,13812,System Analysis and Design,yes
94,13812,Project Management in Health Care Informatics,yes
94,3555,Health Care Database Management,yes
94,8044,Health Care Informatics Internship,yes
97,9029,Introduction to Accounting Analytics,yes
97,6902,Programming for Distributed Systems,yes
97,6508,Database Development for High Performance Computing,yes
97,2838,High Performance Computing,yes
97,2820,Quantitative Finance and Market Microstructure,yes
97,5254,Financial Investment,yes
97,10964,Financial Modeling,yes
97,11317,Essentials of Health Care Administration,yes
97,5392,SAS Programming for Business Analytics,yes
97,2836,Introduction to Quality Management,yes
97,2829,Administrative Systems for Quality Management,yes
97,2828,Project Management and Modeling,yes
97,9988,Supply Chain Analytics,yes
99,9989,Data Mining,yes
99,9991,Advanced Database Systems,yes
99,9992,Data Warehousing,yes
99,9993,Statistical Data Mining,yes
99,9994,Statistical Programming for Business Analytics,yes
99,9995,Big Data and E-Commerce,yes
99,9999,Applied Multivariate Statistical Methods,yes
100,10010,Introduction to Health Informatics,yes
100,10025,Foundation in Management Information Systems,yes
100,10026,Integrated Electronic Medical Records,yes
100,9984,Health Data Management,yes
100,9985,Legal Aspects of Health Information Systems,yes
100,9986,E-Healthcare Ethics,yes
100,9987,E-Medicine Business Models,yes
100,9990,Managerial Communications,yes
100,9996,Case Studies in Health Information Management,yes
100,9997,Healthcare Project Management,yes
100,9998,Health Informatics Independent Study,yes
100,10000,Medical Terminology for Health Informatics Professionals,yes
100,10001,Introduction to Healthcare Analytics,yes
100,10002,Health Outcomes Research,yes
100,10003,Health Informatics Internship,yes
88,10004,,yes
88,10005,Statistics,yes
88,10006,Chemistry,yes
88,10007,Chemistry Laboratory,yes
88,10008,Technical Writing,yes
88,10009,Introduction to Computation and Programming,yes
88,10011,Accounting for Managers,yes
88,10012,Computer Programming,yes
88,10013,Introduction to Operations and Supply Chain Management,yes
88,10015,National Transportation Management,yes
88,10016,Introduction to Transportation Network,yes
88,10017,Intelligent Mobility,yes
88,10018,Data Analytics for Smart City & Transportation,yes
88,10019,Logistics and Supply Chain Management,yes
88,10020,Purchasing and Materials Management,yes
88,10021,Global Logistics Management,yes
88,10022,Planning and Control Systems for Supply Chain Management,yes
88,10023,Reverse Logistics,yes
88,10024,Quantitative Economics and Econometrics,yes
88,13819,Business Intelligence,yes
88,7432,,yes
88,7435,Economic Analysis for Technologists,yes
88,7436,Time Series Modeling and Forecasting,yes
88,7437,Air Transportation and Operations,yes
88,7450,Modeling and Simulation,yes
88,127,Business Intelligence,yes
88,153,Introduction to Programming Using Python,yes
88,106,Computer Programming,yes
88,123,Web Application Development,yes
88,158,Sustainable Logistics,yes
88,115,Analytic Geometry and Calculus,yes
88,116,Logistics and Technology,yes
88,114,Supply Chain Risk Management,yes
88,161,Logistics and Supply Chain Management Computer Software,yes
