document,quotation,codes,comment
0019 [M] Master of Science in Business Administration Business Analytics Option.docx,"
TWO PREREQUISITE COURSES* (6 UNITS):

BAN 601 - Technology Fundamentals for Analytics (3)

This course covers technologies for developing analytics applications. Topics include: fundamentals of business programming, sequential file processing, detail and summary reporting, and data validation. A-F grading only.Minimum grade requirement: B-.

BAN 602 - Quantitative Fundamentals for Analytics (3)

Fundamental quantitative methods with software. Topics include: programming for data analysis, computational linear algebra, and quantitative methods. A-F grading only. Minimum grade requirement: B-.

REQUIRED COURSES (18 UNITS)

Required courses will be taught with modern data analytics programming languages and tools, e.g., SQL, Hadoop, SAS, R, Python, Excel-based add-ins, etc.

BAN 610 Database Management and Applications (3)

Data modeling, database design and implementation, database administration, and database applications. Topics include: database design, incorporating business rules into entity-relationship (ER) models, transformation of an ER model into a relational database design, normalization of database tables, and SQL languages. Prerequisites: BAN 601 and BAN 602 or consent of instructor. A-F grading only.

BAN 612 Data Analytics (3)

Data collection, preparation, visualization, and analysis with software applications. Topics include: web scraping, Application Program Interface (API) data collection, data wrangling, visualization, data type and structure, and computational and quantitative methods. Prerequisites: BAN 601 and BAN 602 or consent of instructor. A-F grading only.

BAN 620 Data Mining (3)

Course introduces the fundamental concepts of data mining and provides extensive hands-on experience in applying the concepts to real-world applications. Topics include dimension reduction, classification, association analysis, clustering and model evaluation techniques. Business applications of data mining techniques are emphasized.Prerequisites: BAN 602 or consent of instructor. A-F grading only.

BAN 622 Data Warehousing and Business Intelligence (3)

Data warehousing and business intelligence concepts, design, implementation, and software tools. Topics include data warehouse architecture, dimensional model design, data integration and visualization, business intelligence reporting and dashboards. Prerequisites: BAN 610 or consent of instructor. A-F grading only.

BAN 630 Optimization Methods for Analytics (3)

Determining the best solution among various choices, suggesting decision options, and illustrating the implications of each option. Topics include: optimization methods, queuing models, simulation, and application-based software.Prerequisites: BAN 602 or consent of instructor. A-F grading only.

BAN 632 Big Data Technology and Applications (3)

This course covers key technologies and applications for big data analytics. Topics include: distributed file systems, big data input/output, streaming technologies, techniques for parallel processing, and big data application development.Prerequisites: BAN 601 and BAN 602 or consent of instructor. A-F grading only.

ELECTIVE COURSES (9 UNITS)

Select three courses from the following:

BAN 660 Advanced Topics in Big Data

Newest technologies for Big Data analytics. Topics include: new tools, algorithms, and platforms for Big Data storage, processing, analysis, visualization, and application.

BAN 670 Advanced Topics in Analytics

Recent development in various topics of analytics, which include, but not limited to, advanced data visualization, machine learning, text mining and web analytics, natural language processing, and industrial applications of data analytics.

BAN 671 Data Analytics with R

Focus on applying business analytics techniques using R programming. Emphasis on using R syntax and packages for data manipulation, visualization and advanced analytics in the context of business environment.

BAN 672 Data Analytics with SAS

Focus on applying business analytics techniques using SAS programming. Emphasis on using SAS syntax and modules for data manipulation, visualization and advanced analytics to solve real world business problems.

BAN 673 Time Series Analytics

Introduces fundamental concepts and methods of time series analytics. Topics include evaluation of data patterns, moving averages, smoothing models, regression-based forecasting, and ARIMA models. Emphasis is on hands-on experience in applying time series analytics in business.

BAN 674 Machine Learning for Business Analytics

Covers key topics in machine learning and their applications to business, including but not limited to, supervised and unsupervised learning, regularization, anomaly detection, and recommender systems.

BAN 675 Text Mining and Social Media Analytics

Covers basic natural language processing techniques, document representation, text categorization, sentiment analysis, topic modeling, text visualization, and social media analytics.

BAN 676 Deep Learning for Business Applications

Concepts, design and implementation of deep learning models for business analytics. Topics include Deep Neural Networks, Convolutional Neural Networks, Recurrent Neural Networks such as Long Short Term Memory and business value of deep learning technology.

MKTG 612 Marketing Analytics

Marketing analytics metrics and models. Approach marketing issues analytically; make marketing decisions driven by quantitative evidence. Topics include resource allocation analytics, product analytics, marketing-mix analytics, customer analytics, and digital analytics. Quantitative techniques enforced through hands-on data analysis and case-based learning.

MGMT 616 People Analytics

Data analysis of human resource management issues, such as recruitment, compensation, performance management, leadership, and employee engagement. Topics include systematic collection, analysis, and interpretation of data to enable strategic decision making for HR functions.

MGMT 654 Enterprise Planning and Control

Techniques used in planning and scheduling resources with Enterprise Resource Planning (ERP) systems. Topics include demand forecasting, aggregate planning, material and capacity requirements planning, supply chain planning, global sourcing, and customer relationship management

MGMT 658 Project Management

Processes, tools and techniques required in managing projects such as product development, construction, information systems and new business. Topics include project scope, schedule, cost and resource management, risk management, managing teams and project control.

CAPSTONE EXPERIENCE (3 UNITS)

BAN 693 Business Analytics Capstone Project (3)

This course includes a project to solve a practical problem by applying and integrating the knowledge and skills learned in the Business Analytics degree program. The capstone project will use real business data from an identified organization. Prerequisites: All prerequisite and required courses. A-F grading only.
",Courses,
0019 [M] Master of Science in Business Administration Business Analytics Option.docx,"
o be eligible for the M.S. in Business Analytics you must have been Advanced to Candidacy (see in Cal State East Bay University catalog) and have completed 30 semester units meeting the following criteria:

All have a course grade of ""C"" or better.

Have a combined 3.0 grade point average (minimum) in all units taken to satisfy the requirements of the student's degree program.

Have no more than 20 units for extension and/or transfer credit (any extension and/or transfer credit must be approved by the Program Director) and/or coursework taken in ""Unclassified Postbaccalaureate"" status.

All units earned within the five years immediately preceding the completion of the requirements for the degree.
",Requirements,
0021 [C] Certificate in Data Science.docx,"
Statistics is a combination of classical mathematics, the theory of probability, and new concepts related to inductive reasoning that have developed during the past 75 years.
",Definition,
0021 [C] Certificate in Data Science.docx,"
CIS 111 - Introduction to Computer Programming Credits: 3

or

CIS 200 - Programming Fundamentals Credits: 4

or

CIS 209 - C Programming for Engineers Credits: 3

ENGL 516 - Written Communication for the Sciences Credits: 3

MATH 220 - Analytic Geometry and Calculus I Credits: 4

MATH 221 - Analytic Geometry and Calculus II Credits: 4

MATH 222 - Analytic Geometry and Calculus III Credits: 4

MATH 515 - Introduction to Linear Algebra Credits: 3

or

MATH 551 - Applied Matrix Theory Credits: 3

STAT 341 - Biometrics II Credits: 3

or

STAT 351 - Business and Economic Statistics II Credits: 3

STAT 510 - Introductory Probability and Statistics I Credits: 3

STAT 511 - Introductory Probability and Statistics II Credits: 3

STAT 705 - Regression and Analysis of Variance Credits: 3

or

STAT 713 - Applied Linear Statistical Models Credits: 3

STAT 725 - Introduction to the SAS Computing Credits: 1

STAT 726 - Introduction to R Computing Credits: 1

Additional STAT credits at 700 level Credits: 3 (excluding STAT 701 and STAT 703)

One course selected from the following list:

STAT 325 - Introduction to Statistics Credits: 3

STAT 340 - Biometrics I Credits: 3

STAT 350 - Business and Economic Statistics I Credits: 3

One course selected from the following list:

STAT 710 - Sample Survey Methods Credits: 3

STAT 720 - Design of Experiments Credits: 3

STAT 722 - Statistical Designs for Product Development and Process Improvement Credits: 3
",Courses,
0023 [M] MBA with Business Analytics.docx,"
Our accreditation guarantees that students receive a high quality education, delivered by the most qualified faculty, all from a College that has met the highest standards in business education.
",Mission,
0023 [M] MBA with Business Analytics.docx,"
The MBA program at CSUF presumes that all students demonstrate proficiency in the topics covered by the following business core, which consist of a minimum of 18 units, up to 30 units of coursework. These courses must be at the 500 level. All specific required courses are determined by college advisers and/or department chairs within the Mihaylo College of Business and Economics. Each student in the MBA program must complete an advisor-approved study plan. 
",Requirements,
0023 [M] MBA with Business Analytics.docx,"
ACCT 510 - Financial Accounting (3)
ACCT 511 - Seminar in Managerial Accounting (3)
ECON 515 - Microeconomic Perspective for Managers (3)
FIN 517 - Managerial Finance (3)
ISDS 514 - Decision Models for Business and Economics (3)
 
ECON 521 - Macroeconomic Perspective for Managers (3) or
ISDS 551 - Info Resources and IT Project Management (3) or
MGMT 515 - Management of Information in the Corporate Environment (3)
 
MGMT 516 - Operations Management (3)
MGMT 518 - Legal and Ethical Environment of Business (3)
MGMT 524 - Seminar in Organizational Behavior and Administration (3)
MKTG 519 - Marketing Management (3)


",Courses,
0023 [M] MBA with Business Analytics.docx,"
Business Core (18-30 units)
",Requirements,
0023 [M] MBA with Business Analytics.docx,"
Decisions about core coursework equivalency are made by college advisers and department chairs within the Mihaylo College of Business and Economics. Consideration for equivalency may only be provided if the proposed equivalent courses are no more than seven years old and the student has achieved a “C” (2.0) or better with an overall GPA of 3.0 (“B”).
",Courses,coursework Equivalency?
0023 [M] MBA with Business Analytics.docx,"
Business Analytics Concentration Electives (12 units)
The Business Analytics concentration requires four courses from within its area. A minimum of two of the four courses must be at the 500 level. All courses must be approved by the department chairs or their designee.
",Requirements,
0023 [M] MBA with Business Analytics.docx,"
Capstone Experience (3 units)
BUAD 591 - Business Strategy Capstone (3)
Students must pass the individual project in BUAD 591 and complete the course with a “B” (3.0) or better. In exceptional cases, a thesis (BUAD 598) may serve as an option. See the graduate adviser for details.

",Requirements,
0024 [M] Master of Science in Applied Statistics.docx,"
COURSE DESCRIPTIONS

MASTER'S COURSES

REQUIRED COURSES (21 CREDITS)

HI 60401 HEALTH INFORMATICS MANAGEMENT

HI 60402 LEGAL ISSUES IN HEALTH INFORMATICS

HI 60403 HEALTH INFORMATION SYSTEMS

HI 60410 HEALTH RECORDS MANAGEMENT

HI 60411 CLINICAL ANALYTICS

HI 60414 HUMAN FACTORS AND USABILITY IN HEALTH INFORMATICS

HI 60636 STANDARDIZED TERMINOLOGIES IN HEALTHCARE

ELECTIVES (12 CREDITS)

Choose 12 credits from the following courses:

HI 60412 CLINICAL DECISION SUPPORT

HI 60413 CHANGE MANAGEMENT IN HEALTH INFORMATICS

HI 60415 HEALTH INFORMATICS INQUIRY AND ASSESSMENT

HI 60416 ETHICS, POLITICS, & POLICY IN HEALTH INFORMATICS

HI 60417 PUBLIC HEALTH INFORMATICS

HI 60418 CLINICAL ANALYTICS 2

HI 60691 SEMINAR IN HEALTH INFORMATICS

HI 60792 ELECTIVE INTERNSHIP IN HEALTH INFORMATICS (FOR STUDENTS WITH NO HEALTH CARE BACKGROUND)

HI 60195 SPECIAL TOPICS COURSES IN HEALTH INFORMATICS

HI 61096 INDIVIDUAL INVESTIGATION IN HEALTH INFORMATICS

DSCI 51510 PROJECT MANAGEMENT & TEAM DYNAMICS

KM 60301 FOUNDATIONAL PRINCIPLES OF KNOWLEDGE MANAGEMENT

KM 60311 BUSINESS PROCESS MANAGEMENT

KM 60370 SEMANTIC ANALYSIS METHODS & TECHNOLOGIES

UXD 60101 INFORMATION ARCHITECTURE

CULMINATING EXPERIENCE REQUIREMENT (3-6 CREDITS)

Select a minimum of 3 credits from the following options:

HI 66092 MASTER'S INTERNSHIP IN HEALTH INFORMATICS

HI 66098 MASTER'S PROJECT IN HEALTH INFORMATICS

HI 66198 MASTER'S RESEARCH PAPER IN HEALTH INFORMATICS

HI 66199 THESIS I


",Courses,
0024 [M] Master of Science in Applied Statistics.docx,"
POSTBACCALAUREATE CERTIFICATE COURSES

REQUIRED COURSES (6 CREDITS)

HI 60401 Health Informatics Management

HI 60403 Health Information Systems

ELECTIVES (12 CREDITS)

Choose 12 additional credits from the master's required courses or elective courses listed above.
",Courses,
0024 [M] Master of Science in Applied Statistics.docx,"
Choose 12 additional credits from the master's required courses or elective courses listed above.
",Requirements,
0024 [M] Master of Science in Applied Statistics.docx,"
REQUIRED COURSES (21 CREDITS)
",Requirements,
0024 [M] Master of Science in Applied Statistics.docx,"
LECTIVES (12 CREDITS)
",Requirements,
0024 [M] Master of Science in Applied Statistics.docx,"
CULMINATING EXPERIENCE REQUIREMENT (3-6 CREDITS)
",Requirements,
0024 [M] Master of Science in Applied Statistics.docx,"
ACADEMICS FAQS

Is the Health Informatics program accredited by an outside organization?

What do you mean when you talk about the culminating experience?

Please explain the difference between a project, a research paper and an internship.

Do I have to sit for the certification exam upon graduation? Or is it optional?

Do I have to take all electives in HI or do I have some flexibility of choice?

Do I have to do the culminating experience at Kent or can I do it where I live?
",[??],
0024 [M] Master of Science in Applied Statistics.docx,"
The Master of Science degree in Health Informatics prepares graduates for careers in managerial, analytical, consultative and executive roles working with healthcare systems and clinicians.
","Impact, Mission",
0024 [M] Master of Science in Applied Statistics.docx,"
 Three major components comprise the health informatics discipline: (1) the information systems component focuses on such issues as information systems analysis, design, implementation, management and leadership; (2) the informatics component is concerned with the study of structure, function and transfer of information, socio-technical aspects of health computing and human-computer interaction; and (3) the information technology component focuses on computer networks, database and systems administration, security and programming
",Skills,
0024 [M] Master of Science in Applied Statistics.docx,"
Health informatics is the science of evaluating, implementing and utilizing technology to manage all information related to the patient care delivery process: clinical, financial, technological and enterprise-wide
",Skills,
0024 [M] Master of Science in Applied Statistics.docx,"
The informatics field also draws contributions from computer science, the clinical sciences, social and organizational influences and business practices.
",Interdisciplinary,
0024 [M] Master of Science in Applied Statistics.docx,"
Reconcile the needs of clinical and non-clinical users of health information systems utilizing workflow analysis, systems analysis and project management principles.

Analyze collected data of health information systems, utilizing principles of data mining, statistics and clinical analytics.

Manage the implementation of health information systems in multiple health care venues using principles of organizational dynamics and change management.

Facilitate communication between clinical and non-clinical users of health information systems.

Successfully obtain the credential of Certified Associate in Health Information Systems.
","Skills, Impact",
0025 [M] Master of Business Administration (M.B.A.) - Business Intelligence and .docx,"
The KWU MBA program was developed to provide students with the practical skills and competencies required

to accelerate their careers in business. 
",Mission,
0025 [M] Master of Business Administration (M.B.A.) - Business Intelligence and .docx,"
This advanced degree program is designed for early to mid-career

professionals who are interested in gaining a broad, holistic understanding of how management practices and

business disciplines are integrated at a strategic level.
",Target group,
0025 [M] Master of Business Administration (M.B.A.) - Business Intelligence and .docx,"
The global nature of course content will prepare students with the crosscultural knowledge and business communication skills that are required by domestic and multinational

corporations in a variety of industries.
",[??],"Maybe a new code for ""global"" or ""cross-cultural"" mentions?"
0025 [M] Master of Business Administration (M.B.A.) - Business Intelligence and .docx,"
Core courses enable students to develop a global, holistic understanding of how business disciplines are integrated at a strategic level.
",Broader impact,
0025 [M] Master of Business Administration (M.B.A.) - Business Intelligence and .docx,"
Program courses offered in the first two semesters enable students to build strategic decision-making capabilities, enhance their analytical reasoning skills and learn to apply a variety of managerial instruments and methodologies in the key areas of marketing, finance, project management, and other core business disciplines.
",Skills,
0025 [M] Master of Business Administration (M.B.A.) - Business Intelligence and .docx,"
Core Requirements 24
",Requirements,
0025 [M] Master of Business Administration (M.B.A.) - Business Intelligence and .docx,"
Bus501 Managerial Economics 3

Bus502 Strategic Management and Decision-making 3

Bus503 Statistics for Business 3

Bus504 Financial Management 3

Bus505 Project Management 3

Bus506 Enterprise Risk Management 3

Bus507 Organizational Behavior and Human Resources

Management

3

Bus508 Advanced Marketing Methods 3

General MBA (Choose 4 courses offered from any

of the specialization tracks listed below)

12

Logistics and Supply Chain Management

Specialization (4 required courses) 12

Bus601 Logistics and Supply Chain Management 3

Bus602 Warehouse & Inventory Management 3

Bus603 Transportation, Containerization and Distribution

Networks

3

Bus604 Logistics IT and Information Management Systems 3

Human Resources Management Specialization (4

required courses)

12

Bus605 Compensation, Reward and Recognition Systems 3

Bus606 Employee Recruitment and Selection Methods 3

Bus607 HR Systems and Workforce Analytics 3

Bus608 Employee Performance Management and Development

Strategies

3

Data Analytics Specialization (4 required courses) 12

Bus609 Data Management and Governance 3

Bus610 Data Mining for Business 3

Bus611 Spreadsheet Modeling and Simulation 3

Bus612 Data Reporting and Visualization 3

Capstone Project (required for all) 3

CAP620 Capstone Project 3
",Courses,
0026 [M] Master of Science in Computational and Data Sciences.docx,"
The main emphasis of the MS in Accounting and Information Analysis (MSAIA) Program is on business solutions
",Mission,
0026 [M] Master of Science in Computational and Data Sciences.docx,"
use accounting information and technology to improve business processes and forge business solutions
",Impact,
0026 [M] Master of Science in Computational and Data Sciences.docx,"
Understanding the business framework

Exposure to business subjects in complementary areas

Advanced communication skills

Strategic use of technology

Specialized accounting knowledge

Consulting skills

Advanced technical information systems skills

Leadership and globalization
",Skills,
0026 [M] Master of Science in Computational and Data Sciences.docx,"
Students need 30 credit hours to complete the program including 12 hours of electives. The Lehigh MSAIA curriculum enables students to use their electives to concentrate in a related area, such as finance, if they wish to do so. Students may count up to six credits of 300-level UG accounting courses taken at Lehigh toward the MSAIA Program. These six credits include any 300-level accounting courses taken as an undergraduate with a grade of B or better that did not count toward any other degree or UG major.
",Requirements,
0026 [M] Master of Science in Computational and Data Sciences.docx,"
MSAIA Curriculum Overview

Core required courses:

MACC 412 IT Auditing (3 credits)

MACC 413 The Corporate Financial Reporting Environment (3 credits)

MACC 420 Forensic Accounting and Auditing (3 credits)

MACC 424 Governance, Risk, and Control (3 credits)

MACC 427 Reporting and Auditing Fair Value Estimates (3 credits)

MACC 430 Data Analytics for Accountants (3 credits)

Electives:

The MSAIA curriculum provides for twelve elective credits that students may use to specialize in an area of interest or to augment one’s general business education. Frequently-taken electives include graduate-level courses in predictive analytics, business information systems, taxation and business decisions, financial statement analysis, corporate financial management, investments, strategic supply management, managerial economics, and strategic marketing management.
",Courses,
0029 [M] Master of Engineering in Big Data.docx,"
The University of New Haven is a student-centered comprehensive university with an emphasis on excellence in liberal arts and professional education. Our mission is to prepare our students to lead purposeful and fulfilling lives in a global society by providing the highest- quality education through experiential, collaborative and discovery-based learning.
",Mission,
0029 [M] Master of Engineering in Big Data.docx,"
Students completing the Master of Science in Data Science will be able to:

Identify and appraise a select industry or public sector challenge that can be solved through data science applications

Design a data science solution to the identified industry or public sector challenge

Communicate a data science solution to the identified industry or public sector challenge

Implement an end-to-end data science solution that addresses a real-world industrial or public need

Evaluate and use distributed systems engineering, demonstrating the ability to analyze, evaluate and design technologies in an enterprise setting
",Skills,
0029 [M] Master of Engineering in Big Data.docx,"
 The program addresses the intersection of three areas driving data science: technologies, analytics and business needs. Students completing the degree will manage data-driven decision-making and use, analyze, and evaluate technologies and techniques in an enterprise setting. Graduates will be able to design innovative solutions to data science challenges taking economic and societal interests into account. They will work in teams and communicate effectively leveraging networks and knowledge with ethical behavior. They will also manage projects and time effectively, respect and embrace diversity and cultures, and be flexible and adaptive.
",Impact,
0029 [M] Master of Engineering in Big Data.docx,"
The 30-credit Master of Science in Data Science prepares students for positions data science, analysis, and visualization
",Jobs,
0029 [M] Master of Engineering in Big Data.docx,"
The program is designed for those intending to work in teams of professionals dealing with data science management, analysis, and visualization.
",Jobs,
0029 [M] Master of Engineering in Big Data.docx,"
DSCI 6001: Mathematics for Data Scientists
",Courses,
0029 [M] Master of Engineering in Big Data.docx,"
DSCI 6002: Data Exploration, Feature Engineering, and Statistics for Data Scientists
",Courses,
0029 [M] Master of Engineering in Big Data.docx,"
DSCI 6003: Machine Learning and Data Analysis I
",Courses,
0029 [M] Master of Engineering in Big Data.docx,"
DSCI 6004: Unstructured Data and Natural Language Processing
",Courses,
0029 [M] Master of Engineering in Big Data.docx,"
DSCI 6005: Machine Learning and Data Analysis II
",Courses,
0029 [M] Master of Engineering in Big Data.docx,"
DSCI 6006: Data Science Leadership and Entrepreneurism
",Courses,
0029 [M] Master of Engineering in Big Data.docx,"
DSCI 6007: Distributed and Scalable Date Engineering
",Courses,
0029 [M] Master of Engineering in Big Data.docx,"
DSCI 6009: Data Science Focus Elective
",Courses,
0029 [M] Master of Engineering in Big Data.docx,"
DSCI 6008: Special Topics in Data Science
",Courses,
0029 [M] Master of Engineering in Big Data.docx,"
DSCI 6010: Data Science Industry Internship
",Courses,
