degree_id,quote_id,course
19,3198,"Marketing analytics metrics and models. Approach marketing issues analytically; make marketing decisions driven by quantitative evidence. Topics include resource allocation analytics, product analytics, marketing-mix analytics, customer analytics, and digital analytics. Quantitative techniques enforced through hands-on data analysis and case-based learning."
19,3198,
19,3198,MGMT 616 People Analytics
19,3198,
19,3198,"Data analysis of human resource management issues, such as recruitment, compensation, performance management, leadership, and employee engagement. Topics include systematic collection, analysis, and interpretation of data to enable strategic decision making for HR functions."
19,3198,
19,3198,MGMT 654 Enterprise Planning and Control
19,3198,
19,3198,"Techniques used in planning and scheduling resources with Enterprise Resource Planning (ERP) systems. Topics include demand forecasting, aggregate planning, material and capacity requirements planning, supply chain planning, global sourcing, and customer relationship management"
19,3198,
19,3198,MGMT 658 Project Management
19,3198,
19,3198,"Processes, tools and techniques required in managing projects such as product development, construction, information systems and new business. Topics include project scope, schedule, cost and resource management, risk management, managing teams and project control."
19,3198,
19,3198,CAPSTONE EXPERIENCE (3 UNITS)
19,3198,
19,3198,BAN 693 Business Analytics Capstone Project (3)
19,3198,
19,3198,This course includes a project to solve a practical problem by applying and integrating the knowledge and skills learned in the Business Analytics degree program. The capstone project will use real business data from an identified organization. Prerequisites: All prerequisite and required courses. A-F grading only.
21,759,CIS 111 - Introduction to Computer Programming Credits: 3
21,759,
21,759,or
21,759,
21,759,CIS 200 - Programming Fundamentals Credits: 4
21,759,
21,759,or
21,759,
21,759,CIS 209 - C Programming for Engineers Credits: 3
21,759,
21,759,ENGL 516 - Written Communication for the Sciences Credits: 3
21,759,
21,759,MATH 220 - Analytic Geometry and Calculus I Credits: 4
21,759,
21,759,MATH 221 - Analytic Geometry and Calculus II Credits: 4
21,759,
21,759,MATH 222 - Analytic Geometry and Calculus III Credits: 4
21,759,
21,759,MATH 515 - Introduction to Linear Algebra Credits: 3
21,759,
21,759,or
21,759,
21,759,MATH 551 - Applied Matrix Theory Credits: 3
21,759,
21,759,STAT 341 - Biometrics II Credits: 3
21,759,
21,759,or
21,759,
21,759,STAT 351 - Business and Economic Statistics II Credits: 3
21,759,
21,759,STAT 510 - Introductory Probability and Statistics I Credits: 3
21,759,
21,759,STAT 511 - Introductory Probability and Statistics II Credits: 3
21,759,
21,759,STAT 705 - Regression and Analysis of Variance Credits: 3
21,759,
21,759,or
21,759,
21,759,STAT 713 - Applied Linear Statistical Models Credits: 3
21,759,
21,759,STAT 725 - Introduction to the SAS Computing Credits: 1
21,759,
21,759,STAT 726 - Introduction to R Computing Credits: 1
21,759,
21,759,Additional STAT credits at 700 level Credits: 3 (excluding STAT 701 and STAT 703)
21,759,
21,759,One course selected from the following list:
21,759,
21,759,STAT 325 - Introduction to Statistics Credits: 3
21,759,
21,759,STAT 340 - Biometrics I Credits: 3
21,759,
21,759,STAT 350 - Business and Economic Statistics I Credits: 3
21,759,
21,759,One course selected from the following list:
21,759,
21,759,STAT 710 - Sample Survey Methods Credits: 3
21,759,
21,759,STAT 720 - Design of Experiments Credits: 3
21,759,
21,759,STAT 722 - Statistical Designs for Product Development and Process Improvement Credits: 3
23,416,ACCT 510 - Financial Accounting (3)
23,416,ACCT 511 - Seminar in Managerial Accounting (3)
23,416,ECON 515 - Microeconomic Perspective for Managers (3)
23,416,FIN 517 - Managerial Finance (3)
23,416,ISDS 514 - Decision Models for Business and Economics (3)
23,416, 
23,416,ECON 521 - Macroeconomic Perspective for Managers (3) or
23,416,ISDS 551 - Info Resources and IT Project Management (3) or
23,416,MGMT 515 - Management of Information in the Corporate Environment (3)
23,416, 
23,416,MGMT 516 - Operations Management (3)
23,416,MGMT 518 - Legal and Ethical Environment of Business (3)
23,416,MGMT 524 - Seminar in Organizational Behavior and Administration (3)
23,416,MKTG 519 - Marketing Management (3)
23,1119,Decisions about core coursework equivalency are made by college advisers and department chairs within the Mihaylo College of Business and Economics. Consideration for equivalency may only be provided if the proposed equivalent courses are no more than seven years old and the student has achieved a “C” (2.0) or better with an overall GPA of 3.0 (“B”).
24,895,COURSE DESCRIPTIONS
24,895,
24,895,MASTER'S COURSES
24,895,
24,895,REQUIRED COURSES (21 CREDITS)
24,895,
24,895,HI 60401 HEALTH INFORMATICS MANAGEMENT
24,895,
24,895,HI 60402 LEGAL ISSUES IN HEALTH INFORMATICS
24,895,
24,895,HI 60403 HEALTH INFORMATION SYSTEMS
24,895,
24,895,HI 60410 HEALTH RECORDS MANAGEMENT
24,895,
24,895,HI 60411 CLINICAL ANALYTICS
24,895,
24,895,HI 60414 HUMAN FACTORS AND USABILITY IN HEALTH INFORMATICS
24,895,
24,895,HI 60636 STANDARDIZED TERMINOLOGIES IN HEALTHCARE
24,895,
24,895,ELECTIVES (12 CREDITS)
24,895,
24,895,Choose 12 credits from the following courses:
24,895,
24,895,HI 60412 CLINICAL DECISION SUPPORT
24,895,
24,895,HI 60413 CHANGE MANAGEMENT IN HEALTH INFORMATICS
24,895,
24,895,HI 60415 HEALTH INFORMATICS INQUIRY AND ASSESSMENT
24,895,
24,895,"HI 60416 ETHICS, POLITICS, & POLICY IN HEALTH INFORMATICS"
24,895,
24,895,HI 60417 PUBLIC HEALTH INFORMATICS
24,895,
24,895,HI 60418 CLINICAL ANALYTICS 2
24,895,
24,895,HI 60691 SEMINAR IN HEALTH INFORMATICS
24,895,
24,895,HI 60792 ELECTIVE INTERNSHIP IN HEALTH INFORMATICS (FOR STUDENTS WITH NO HEALTH CARE BACKGROUND)
24,895,
24,895,HI 60195 SPECIAL TOPICS COURSES IN HEALTH INFORMATICS
24,895,
24,895,HI 61096 INDIVIDUAL INVESTIGATION IN HEALTH INFORMATICS
24,895,
24,895,DSCI 51510 PROJECT MANAGEMENT & TEAM DYNAMICS
24,895,
24,895,KM 60301 FOUNDATIONAL PRINCIPLES OF KNOWLEDGE MANAGEMENT
24,895,
24,895,KM 60311 BUSINESS PROCESS MANAGEMENT
24,895,
24,895,KM 60370 SEMANTIC ANALYSIS METHODS & TECHNOLOGIES
24,895,
24,895,UXD 60101 INFORMATION ARCHITECTURE
24,895,
24,895,CULMINATING EXPERIENCE REQUIREMENT (3-6 CREDITS)
24,895,
24,895,Select a minimum of 3 credits from the following options:
24,895,
24,895,HI 66092 MASTER'S INTERNSHIP IN HEALTH INFORMATICS
24,895,
24,895,HI 66098 MASTER'S PROJECT IN HEALTH INFORMATICS
24,895,
24,895,HI 66198 MASTER'S RESEARCH PAPER IN HEALTH INFORMATICS
24,895,
24,895,HI 66199 THESIS I
24,1931,POSTBACCALAUREATE CERTIFICATE COURSES
24,1931,
24,1931,REQUIRED COURSES (6 CREDITS)
24,1931,
24,1931,HI 60401 Health Informatics Management
24,1931,
24,1931,HI 60403 Health Information Systems
24,1931,
24,1931,ELECTIVES (12 CREDITS)
24,1931,
24,1931,Choose 12 additional credits from the master's required courses or elective courses listed above.
25,669,Bus501 Managerial Economics 3
25,669,
25,669,Bus502 Strategic Management and Decision-making 3
25,669,
25,669,Bus503 Statistics for Business 3
25,669,
25,669,Bus504 Financial Management 3
25,669,
25,669,Bus505 Project Management 3
25,669,
25,669,Bus506 Enterprise Risk Management 3
25,669,
25,669,Bus507 Organizational Behavior and Human Resources
25,669,
25,669,Management
25,669,
25,669,3
25,669,
25,669,Bus508 Advanced Marketing Methods 3
25,669,
25,669,General MBA (Choose 4 courses offered from any
25,669,
25,669,of the specialization tracks listed below)
25,669,
25,669,12
25,669,
25,669,Logistics and Supply Chain Management
25,669,
25,669,Specialization (4 required courses) 12
25,669,
25,669,Bus601 Logistics and Supply Chain Management 3
25,669,
25,669,Bus602 Warehouse & Inventory Management 3
25,669,
25,669,"Bus603 Transportation, Containerization and Distribution"
25,669,
25,669,Networks
25,669,
25,669,3
25,669,
25,669,Bus604 Logistics IT and Information Management Systems 3
25,669,
25,669,Human Resources Management Specialization (4
25,669,
25,669,required courses)
25,669,
25,669,12
25,669,
25,669,"Bus605 Compensation, Reward and Recognition Systems 3"
25,669,
25,669,Bus606 Employee Recruitment and Selection Methods 3
25,669,
25,669,Bus607 HR Systems and Workforce Analytics 3
25,669,
25,669,Bus608 Employee Performance Management and Development
25,669,
25,669,Strategies
25,669,
25,669,3
25,669,
25,669,Data Analytics Specialization (4 required courses) 12
25,669,
25,669,Bus609 Data Management and Governance 3
25,669,
25,669,Bus610 Data Mining for Business 3
25,669,
25,669,Bus611 Spreadsheet Modeling and Simulation 3
25,669,
25,669,Bus612 Data Reporting and Visualization 3
25,669,
25,669,Capstone Project (required for all) 3
25,669,
25,669,CAP620 Capstone Project 3
26,1792,MSAIA Curriculum Overview
26,1792,
26,1792,Core required courses:
26,1792,
26,1792,MACC 412 IT Auditing (3 credits)
26,1792,
26,1792,MACC 413 The Corporate Financial Reporting Environment (3 credits)
26,1792,
26,1792,MACC 420 Forensic Accounting and Auditing (3 credits)
26,1792,
26,1792,"MACC 424 Governance, Risk, and Control (3 credits)"
26,1792,
26,1792,MACC 427 Reporting and Auditing Fair Value Estimates (3 credits)
26,1792,
26,1792,MACC 430 Data Analytics for Accountants (3 credits)
26,1792,
26,1792,Electives:
26,1792,
26,1792,"The MSAIA curriculum provides for twelve elective credits that students may use to specialize in an area of interest or to augment one’s general business education. Frequently-taken electives include graduate-level courses in predictive analytics, business information systems, taxation and business decisions, financial statement analysis, corporate financial management, investments, strategic supply management, managerial economics, and strategic marketing management."
29,1207,DSCI 6001: Mathematics for Data Scientists
29,1208,"DSCI 6002: Data Exploration, Feature Engineering, and Statistics for Data Scientists"
29,1209,DSCI 6003: Machine Learning and Data Analysis I
29,1210,DSCI 6004: Unstructured Data and Natural Language Processing
29,1211,DSCI 6005: Machine Learning and Data Analysis II
29,1212,DSCI 6006: Data Science Leadership and Entrepreneurism
29,1213,DSCI 6007: Distributed and Scalable Date Engineering
29,1215,DSCI 6009: Data Science Focus Elective
29,1214,DSCI 6008: Special Topics in Data Science
29,1216,DSCI 6010: Data Science Industry Internship
29,1217,DSCI 6051: Data Science Capstone Project
30,1467,HIM 523: Healthcare Information Analysis 3 Semester Credit Hours
30,1467,
30,1467,HIM 530: Leadership in Healthcare 3 Semester Credit Hours
30,1467,
30,1467,HIM 599: Capstone Project 3 Semester Credit Hours
30,1465,HIM 500: Healthcare Compliance 3 Semester Credit Hours
30,1465,
30,1465,HIM 501: Healthcare Inform Network Sys 3 Semester Credit Hours
30,1465,
30,1465,HIM 502: Database Architecture 3 Semester Credit Hours
30,1465,
30,1465,HIM 503: Medical Vocab and Class Systems 3 Semester Credit Hours
30,1465,
30,1465,HIM 505: Health Informatics Advanced Statistical Methods 3 Semester Credit Hours
30,1465,
30,1465,HIM 510: Intro to Health Informatics 3 Semester Credit Hours
30,1465,
30,1465,HIM 511: Project Management 3 Semester Credit Hours
30,1465,
30,1465,HIM 513: Evaluation of Information System 3 Semester Credit Hours
30,1465,
30,1465,HIM 521: EHR Infrastructure 3 Semester Credit Hours
30,1465,
30,1465,HIM 522: Computerized Decision Support 3 Semester Credit Hours
31,831,Core
31,831,
31,831,CS701 Introduction to Programming (waiveable)
31,831,
31,831,CS703 Programming for Data Science (taught by CS faculty) (Placement or CS701)
31,831,
31,831,ST710 Statistical Computing (taught by Statistics faculty)
31,831,
31,831,DS730 Introduction to Data Science (taught by IS faculty)
31,831,
31,831,DS851 Business Intelligence and Data Mining (taught by IS faculty) (DS730 or permission of instructor)
31,831,
31,831,ST765 Linear Statistical Models (ST710)
31,430,Additional Required Courses
31,430,
31,430,CS737 Machine Learning (for technical specialization) (CS703)
31,430,
31,430,DS795/796 Data Science Project
31,818,Computer Science Elective Courses
31,818,
31,818,"CS745 Multimedia data analysis and mining (CS737, ST710)"
31,818,
31,818,"CS746 Data Visualization (CS703, ST710)"
31,818,
31,818,CS750 Special Topics in Computer Science
31,818,
31,818,CS751 Independent Study
31,818,
31,818,CS765 Database Retrieval (CS703)
31,818,
31,818,CS766 Information Retrieval and Natural Language Processing (CS737)
31,818,
31,818,Statistics Elective Courses
31,818,
31,818,ST767 Multivariate Analysis (ST710)
31,818,
31,818,ST775 Generalized Linear Models and Multilevel Models (ST765)
31,818,
31,818,ST776 Bayesian Inference (ST765)
31,818,
31,818,ST778 Time Series (ST710)
31,818,
31,818,ST791 Special Topics in Statistics
31,818,
31,818,ST792 Independent Study
31,818,
31,818,Business Elective Courses
31,818,
31,818,GB700 Ethics and Social Responsibility
31,818,
31,818,GB733 Enterprise Systems
31,818,
31,818,GB/DS739 Data Management and Database Systems
31,818,
31,818,GB/DS736 Data Visualization for Decision Making (DS730 or permission of instructor)
31,818,
31,818,GB852 Advanced Analytics
31,818,
31,818,GB853 Social Media and Web Mining
31,818,
31,818,GB735 Project Management
27,1015,DATA 51000- Introduction to Data Mining and Analytics
27,1015,
27,1015,DATA 51100-Statistical Programming
27,1015,
27,1015,DATA 53000-Data Visualization
27,1015,
27,1015,DATA 54000 Large-Scale Data Storage Systems
27,1015,
27,1015,DATA 5500-Machine Learning
27,1015,
27,1015,Foundation Courses
27,1015,
27,1015,Data 50000- Mathematics for Data Science
27,1015,
27,1015,CPSC- 50100- Programming Fundamentals
32,666,BUS 235A: Introduction to Business Analytics
32,666,BUS 235B: Business Research
32,666,BUS 235C: Data Mining
32,666,BUS 235D: Business Analytics Simulation
34,920,"Courses that may be used to satisfy the significant implementation requirement include: CS 140, 140E, 143, 144, 145, 148, 190, 210B, 221, 227B, 243, 248, 341, and 346"
34,947,CS 145 (students with equivalent course work may waive with adviser approval)
34,947,
34,947,
34,947,
34,947,"b) At least four of: CS 224N, 224W, 229, 245, 246, 276, 345"
34,947,
34,947,
34,947,
34,947,"c) A total of at least 27 units from categories (a), (b) and the following: CS 144, 151, 190, 224S, 224U, 228, 229T, 230, 231A, 231N, 233, 234, 236, 240, 242, 243, 244, 244B, 251, 255, 262, 270, 272, 273A, 274, 275, 279, 316, 325, 341, any 344 (A/B/C… suffix), 362, 374, 393*, 395*, 399*; Man Sci and Eng 226; STAT 315A, 315B (courses with * notation require approval of MS adviser)"
34,946,"CS 140 or 140E, 143, 147, 148, 149, 154, 155, 157, 166, 168, 205L, 221, 223A, 227B, 261, 264, 265, 266, 267, 268, 269I; CME 108, 302; EE 180, 282"
34,961,"CS300, EE380, EE385A,"
35,960,CS224W Social and Information Network Analysis
35,960,CS229 Machine Learning
35,960,CS246 Mining Massive Data Sets
35,960,CS276 Information Retrieval and Web Search
36,213,STATS202 Data Mining and Analysis
36,213,
36,213,STATS216 Introduction to Statistical Learning
36,213,
36,213,STATS191 Introduction to Applied Statistics
36,213,
36,213,STATS216V Introduction to Statistical Learning
36,213,
36,213,STATS290 Computing for Data Science
36,213,
36,213,STATS315B Modern Applied Statistics: Data Mining
36,2206,Stats202 or Stats216 is required as a first course. Only one course will count for the certificate.
38,903,Course Name & number Course TItle Units
38,903,CME 302 Numerical Linear Algebra 3
38,903,CME 305 Discrete Mathematics and Algorithms 3
38,903,CME 307 Optimization 3
38,903,CME 308 Stochastic Methods in Engineering 3
38,903,or 
38,903,CME 309
38,903,Randomized Algorithms and Probabilistic Analysis 3
38,903,STATS 310A Theory of Probability 3
38,903,Requirement 2 : Data Science Electives (12 units)
38,903,Data Science electives should demonstrate breadth of knowledge in the technical area. The elective course list is defined. Courses outside this list are subject to approval. Courses in this area must be taken for letter grades.
38,903,
38,903,Course Name & number Course TItle Units
38,903,STATS 200 Introduction to Statistical Inference 3
38,903,or STATS 300A Theory of Statistics I 3
38,903,STATS 203 Introduction to Regression Models and Analysis of Variance 3
38,903,or STATS 305A Introduction to Statistical Modeling
38,903,STATS 315A Modern Applied Statistics: Learning 2-3
38,903,STATS 315B Modern Applied Statistics: Data Mining 2-3
38,903,or equivalent courses as approved by the adviser. 
38,903,Requirement 3: Advanced Scientific Programming and High Performance Computing Core (6 units)
38,903,"To ensure that students have a strong foundation in programming, 3 units of advanced scientific programming for letter grade at the level of CME212 and three units of parallel computing for letter grades are required."
38,903,
38,903,Note: Programming proficiency at the level of CME211 is a hard prerequisite for CME212 (students may ONLY place out of 211 with prior written approval*). CME211 can be applied towards elective requirement.
38,903,
38,903,Course Name & number Course TItle Units
38,903,Advanced Scientific Programming; take 3 units 
38,903,CME 211 Software Development for Scientists and Engineers (can only be used as an elective) 3
38,903,CME 212 Advanced Software Development for Scientists and Engineers 3
38,903,Parallel Computing/HCP courses: (3 units) 
38,903,"CME 213 Introduction to parallel computing using MPI, openMP, and CUDA 3"
38,903,CME 323 Distributed Algorithms and Optimization 3
38,903,CME 342 Parallel Methods in Numerical Analysis 3
38,903,CS 149 Parallel Computing 3-4
38,903,CS 316 Advanced Multi-Core Systems 3
38,903,"CS 344C, offered in previous years, may also be counted "
38,903,"Students who do not start the program with a strong computational and/or programming background will take an extra 3 units to prepare themselves by, for example, taking CME211 Programming in C/C++ for Scientists and Engineer or equivalent course* with adviser's approval."
38,903,
38,903,Requirement 4 : Specialized Electives (9 units)
38,903,Choose three courses in specialized areas from the following list. Courses outside this list are subject to approval.
38,903,
38,903,Course Name & number Course TItle Units
38,903,BIOE 214 Representations and Algorithms for Computational Molecular Biology 3-4
38,903,BIOMEDIN 215 Data Driven Medicine 3
38,903,BIOS 221/STATS 366 Modern Statistics for Modern Biology 3
38,903,CS 224W Social and Information Network Analysis 3-4
38,903,CS 229 Machine Learning 3-4
38,903,CS 231N Convolutional Neural Networks for Visual Recognition 3-4
38,903,CS 246 Mining Massive Data Sets 3-4
38,903,CS 448 Topics in Computer Graphics 3-4
38,903,ECON 293 Machine Learning and Causal Inference 3
38,903,ENERGY 240 Geostatistics 3
38,903,OIT 367 Business Intelligence from Big Data 3
38,903,PSYCH 204A Human Neuroimaging Methods 3
38,903,STATS 290 Computing for Data Science 3
38,903,Requirement 5 : Practical Component
41,865,Core Coursework
41,865,
41,865,MHI 202 — Computer-Based Patient Records
41,865,
41,865,Units: 4
41,865,
41,865,"Instructor: Mark Carroll, M.P.H."
41,865,
41,865,"Course description: Introduction and overview of computer-based clinical record systems. Topics include data modeling, health system standards and terminologies; security, privacy and confidentiality; workflow modeling; data visualization; legal; and evidence-based practice."
41,865,
41,865,MHI 209 — Clinical Data Acquisition and Analysis
41,865,
41,865,Units: 4
41,865,
41,865,"Instructor: Naresh Baliga, M.S."
41,865,
41,865,"Course description: The course examines the nature, acquisition, and analysis of medical data. Such data ranges from signals of electrical potentials, sounds, text, images (still and motion), and data from nucleic acid and protein expression and sequencing instruments."
41,865,
41,865,MHI 210 — Introduction to Health Informatics
41,865,
41,865,Units: 4
41,865,
41,865,"Instructor: Nick Anderson, Ph.D."
41,865,
41,865,"Course description: Overview course to give the student a broad exposure to the field of health informatics. Topics covered include, but are not limited to, networking, information systems, coding, HL7, security,and HIPAA."
41,865,
41,865,MHI 290 — Health Informatics Seminar Series
41,865,
41,865,Units: 1
41,865,
41,865,"Instructor: Mark Carroll, M.P.H."
41,865,
41,865,"Course description: Weekly seminar covering research and evaluation methods, core concepts in health informatics, and classic and current informatics literature review. Includes monthly seminar featuring the latest informatics research by local, national, and international informatics professionals."
41,865,
41,865,MHI 299 — Research in Health Informatics (independent research format)
41,865,
41,865,Units: 1 - 12
41,865,
41,865,Instructor: Health Informatics Graduate Program Faculty
41,865,
41,865,Course description: Research in Health Informatics.
41,865,
41,865,Domain Elective Coursework
41,865,
41,865,Domain Elective Courses: 19 units minimum of domain electives course work is required.
41,865,
41,865,"The UC Davis Health Informatics program works with several graduate schools to offer additional domain courses, not listed below. These are available with approval of the student’s academic advisor."
41,865,
