ID,UNIVERSITY,CARNEGIE,DEGREE LEVEL,DEGREE,YEAR STARTED,REMOVE?,URL,CATEGORY,DEGREE RECODED,DATA SCIENCE,DEPARTMENT,DEPARTMENT RECODED,ONLINE,ON CAMPUS,COUNTRY,STATE,CITY,DOCS MADE?,CONTACT EMAIL,CONTACT NAME,ETHICS COURSE,ETHICS REQ,SKILLS,COURSES,MISSION,Notes,,# of COURSES
024,California State University – Long Beach,M1,M,Master of Science in Applied Statistics,,,http://catalog.csulb.edu/preview_program.php?catoid=2&poid=693,Math,Applied Statistics,FALSE,Department of Mathematics and Statistics,Mathematics/Statistics,T,F,US,CA,Long Beach,T,Tangan.Gao@csulb.edu,Tangan Gao,,,T,T,T,,,TRUE
025,California State University – San Bernardino,M1,M,Master of Business Administration (M.B.A.) - Business Intelligence and Information Technology Focus,,,http://bulletin.csusb.edu/colleges-schools-departments/business-public-administration/mba/,Business,Business Intelligence,FALSE,Department of Public Administration,Business/Management,F,T,US,CA,San Bernardino,T,abeechko@csusb.edu  or lenora@csusb.edu,Andrea Beechko  or Lenora Rodgers,None,,F,T,T,,,TRUE
026,Chapman University,M1,M,Master of Science in Computational and Data Sciences,,,https://www.chapman.edu/scst/graduate/ms-computational-science.aspx,Data,Data Science,TRUE,Schmid College of Science & Technology,Computer Science,T,F,US,CA,Orange,T,fahy@chapman.edu,"Michael Fahy, Ph.D.",,,T,T,T,,,TRUE
027,Chapman University,M1,D,Computational and Data Sciences,,,https://www.chapman.edu/scst/graduate/phd-computational-science.aspx,Data,Data Science,TRUE,Interdisciplinary,Interdisciplinary,F,T,US,CA,Orange,T,elaskary@chapman.edu,Hesham El-Askary,None,,T,T,T,,,TRUE
029,Galvanize U,NA,M,Master of Engineering in Big Data,,,http://galvanizeu.newhaven.edu/,Data,Data Science,FALSE,Partnership w/University of New Haven,Data Science,F,T,US,CA,San Francisco,T,,,,,T,T,T,,,TRUE
030,National University,M1,M,Master of Science in Data Analytics,,,https://www.nu.edu/ourprograms/college-of-professional-studies/engineering-and-computing/Programs/MasterofScienceinDataAnalytics/,Data,Data Analytics,FALSE,"School of Engineering, Technology and Media",Engineering (general),F,T,US,CA,La Jolla,T,jreeves@nu.edu,Dr. Jodi Reeves,None,,T,T,T,,,TRUE
031,National University,M1,M,Master of Science in Health and Life Science Analytics,,,https://www.nu.edu/ourprograms/college-of-professional-studies/communityhealth/programs/mph/,Health,Health Analytics,FALSE,School of Health and Human Services,Health Informatics,F,T,US,CA,La Jolla,T,tsmith@nu.edu,Dr. Tyler Smith,None,,T,T,T,,,TRUE
032,San Jose State University,M1,C,Online Business Analytics Certificate,,,http://www.sjsu.edu/lucasgsb/programs/advanced-certificates/business-analytics/index.html,Business,Business Analytics,FALSE,Lucas Graduate School of Business,Business/Management,F,T,US,CA,San Jose,T,catherine.dougherty@sjsu.edu,Catherine Dougherty,None,,T,T,T,,,TRUE
034,Stanford University,R1,M,"Master of Science In Computer Science, Specialization in Information Management and Analytics",,,https://cs.stanford.edu/academics/masters/choosing-specialization#info,Data,Information Systems,FALSE,Department of Computer Science,Computer Science,F,T,US,CA,Stanford,T,,,,,T,T,F,,,FALSE
035,Stanford University,R1,C,Mining Massive Data Sets Graduate Certificate,,,https://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=10555807,Data,Data Mining,FALSE,Center for Professional Development,Data Science,F,F,US,CA,Stanford,T,scpd-information@stanford.edu,,None,,T,T,T,,,TRUE
036,Stanford University,R1,C,Data Mining and Applications Graduate Certificate,,,https://scpd.stanford.edu/public/category/courseCategoryCertificateProfile.do?method=load&certificateId=1209602,Data,Data Mining,FALSE,Center for Professional Development,Data Science,F,T,US,CA,Stanford,T,scpd-information@stanford.edu,,None,,T,T,T,,,TRUE
038,Stanford University,R1,M,M.S. in Statistics: Data Science,,,https://statistics.stanford.edu/academics/ms-statistics-data-science,Data,Data Science,TRUE,Department of Statistics,Mathematics/Statistics,T,F,US,CA,Stanford,T,scpd-information@stanford.edu,,,,T,T,T,,,TRUE
041,"University of California, Davis",R1,M,Master's of Health Informatics,,,https://health.ucdavis.edu/informatics/masters/,Health,Health Informatics ,FALSE,School of Medicine,Health Informatics,T,T,US,CA,Davis,T,healthinformatics@ucdavis.edu,,,,T,T,T,,,TRUE
044,"University of California, Irvine",R1,C,Predictive Analytics Certificate Program,,,https://ce.uci.edu/areas/it/predictive_analytics/,Data,Predictive Analytics,FALSE,UCI Extension School,Other,T,F,US,CA,Irvine,T,julie.pai@uci.edu,Julie Pai,None,,T,T,T,,,FALSE
045,"University of California, San Diego",R1,C,Data Mining Certificate,,,https://extension.ucsd.edu/courses-and-programs/data-mining-for-advanced-analytics,Data,Data Mining,FALSE,UC San Diego Extension School,Data Science,T,F,US,CA,La Jolla,T,nex-techdata@ucsd.edu,,,,T,T,T,,,TRUE
047,"University of California, San Diego",R1,M,Master of Science in Business Analytics,,,https://rady.ucsd.edu/programs/masters-programs/ms-in-business-analytics/,Business,Business Analytics,FALSE,Rady School of Management,Business/Management,F,T,US,CA,La Jolla,T,RadyGradAdmissions@ucsd.edu,General contact,"MGTA 401. Professional Seminar (1)

Discussion series where domain experts and business leaders present up-to-date research, discuss legal, privacy, and ethical issues, and provide professional skills development. S/U grades only. May be taken for credit two times. Prerequisites: MGTA 451, MGTA 452, MGTA 453, and restricted to master’s of business analytics students or with department and instructor approval.",T,T,T,T,,,TRUE
048,"University of California, Berkeley",R1,M,Information and Data Science,2014,,https://datascience.berkeley.edu/,Data,Data Science,TRUE,School of Information,Information,T,F,US,CA,Berkeley,T,admissions@datascience.berkeley.edu,,,,T,T,T,,,TRUE
049,"University of California, Berkeley",R1,C,Business Intelligence and SAS Analytics Software,,,https://extension.berkeley.edu/public/category/programStream.do?method=load&selectedProgramAreaId=15499&selectedProgramStreamId=16388,Business,Business Intelligence,FALSE,"Business, Technology and Engineering",Business/Management,F,T,US,CA,Berkeley,T,admissions@datascience.berkeley.edu,,,,T,T,F,,,TRUE
050,"University of California, Berkeley",R1,M,Data Science and Systems Concentration,,,https://eecs.berkeley.edu/academics/graduate/industry-programs/meng,Data,Data Science,TRUE,Engineering,Engineering (general),F,T,US,CA,Berkeley,T,mengadmissions@eecs.berkeley.edu,,,,T,T,T,,,TRUE
054,University of Southern California,R1,M,Master of Science in Healthcare Decision Analysis Concentration in Business Intelligence,,,https://hcda.usc.edu/program-learning-objectives/,Health,Health Analytics,FALSE,School of Pharmacy,Pharmacy,T,F,US,CA,Los Angeles,T,glawless@usc.edu,Grant D. Lawless,None,,T,T,T,,,TRUE
056,University of the Pacific,R3,M,Master of Science in Analytics,,,https://www.pacific.edu/academics/schools-and-colleges/school-of-engineering-and-computer-science/academics-/graduate-programs/ms-in-data-science.html,Data,Data Analytics,FALSE,School of Engineering and Computer Science,Interdisciplinary,T,F,US,CA,Stockton,T,datascience@pacific.edu,"Dina Dell'Aringa
Administrative Assistant
School of Engineering and Computer Science",,,T,T,T,,,TRUE
058,Aspen University,R3,M,Master of Science in Technology and Innovation - Business Intelligence and Data Management,,,https://www.aspen.edu/business-technology/masters-technology-innovation/,Business,Business Intelligence,FALSE,School of Business and Technology,Business/Management,T,F,US,CO,Denver,T,enrollment@aspen.edu,,,,T,T,T,,,TRUE
059,Colorado State University,R1,C,Graduate Certificate in Business Intelligence,,,https://biz.colostate.edu/academics/graduate-programs/graduate-certificates/business-intelligence,Business,Business Intelligence,FALSE,College of Business,Business/Management,F,T,US,CO,Fort Collins,T,cobgradinfo@colostate.edu,,No,No,T,T,T,,,TRUE
060,Colorado State University,R1,C,Applied Statistics Certificate,,,https://www.online.colostate.edu/certificates/theory-applications-regression-models/,Math,Applied Statistics,FALSE,Department of Statistics,Mathematics/Statistics,F,T,US,CO,Fort Collins,T,maurice.kigada@colostate.edu,Maurice Kigada,,,T,T,T,,,TRUE
061,Colorado State University,R1,C,Data Analysis Certificate,,,https://www.online.colostate.edu/certificates/data-analysis-certificate/,Data,Data Analytics,FALSE,Department of Statistics,Mathematics/Statistics,T,F,US,CO,Fort Collins,T,maurice.kigada@colostate.edu,Maurice Kigada,,,T,T,T,,,TRUE
062,Colorado State University,R1,M,Master of Applied Statistics (M.A.S.),,,https://www.online.colostate.edu/degrees/applied-statistics/,Math,Applied Statistics,FALSE,Department of Statistics,Mathematics/Statistics,F,T,US,CO,Fort Collins,T,"Maurice Kigada
(970) 492-4722",,,,T,T,T,,,TRUE
064,Colorado Technical University,NA,D,Big Data Analytics,,,https://www.coloradotech.edu/degrees/doctorates/computer-science/big-data-analytics,Data,Data Analytics,FALSE,Engineering & Computer Science | Information Technology,Data Science,T,T,US,CO,Denver,T,fill out form,,,,T,T,T,,,TRUE
066,Regis University,M1,M,Data Science,2015,,https://www.regis.edu/CCIS/Academics/Degrees-Programs/Graduate-Programs/MS-Data-Science.aspx,Data,Data Science,TRUE,College of Computer and Information Sciences,Computer Science,T,T,US,CO,Denver,T,dhart@regis.edu,"Douglas Hart, Ph.D.",,,T,T,T,,,TRUE
067,University of Colorado Boulder,R1,M,Master of Science in Business Analytics,2014,,https://www.colorado.edu/business/ms-programs,Business,Business Analytics,FALSE,Leeds School of Business,Business/Management,F,T,US,CO,Boulder,T,leedsmba@colorado.edu,,,,T,T,T,,,TRUE
070,University of Colorado Denver,R2,M,MS in Business Analytics - Big Data Specialization,2014,,https://business.ucdenver.edu/ms/business-analytics,Business,Business Analytics,FALSE,Business School,Business/Management,T,F,US,CO,Denver,T,bschool.admissions@ucdenver.edu,,,,T,T,T,,,TRUE
071,University of Colorado Denver,R2,M,MS in Information Systems - Business Intelligence,,,https://business.ucdenver.edu/ms/information-systems,Business,Business Intelligence,FALSE,Business School,Business/Management,T,F,US,CO,Denver,T,bschool.admissions@ucdenver.edu,,,,T,T,T,,,TRUE
072,University of Colorado Denver,R2,M,Master of Science in Information Systems Business Intelligence ,,,https://business.ucdenver.edu/ms/information-systems,Business,Business Intelligence,FALSE,Business School,Business/Management,F,T,US,CO,Denver,T,bschool.admissions@ucdenver.edu,,,,T,T,F,,,TRUE
074,University of Denver,R2,M,Master of Science in Business Analytics,2014,,https://daniels.du.edu/business-information-analytics/masters/,Business,Business Analytics,FALSE,Daniels College of Business,Business/Management,T,F,US,CO,Denver,T,daniels@du.edu,,,,T,T,T,,,TRUE
075,Central Connecticut State University,M1,M,Data Science,,,https://www2.ccsu.edu/program/DataScience_MS,Data,Data Mining,TRUE,Mathematical Sciences,Mathematics/Statistics,T,F,US,CT,New Britain,T,bilisolyr@ccsu.edu,Program Director Roger Bilisoly,,,T,T,T,,,TRUE
076,Central Connecticut State University,M1,C,Graduate Certificate in Data Mining,,,https://www.ccsu.edu/datascience/,Data,Data Mining,FALSE,Department of Mathematical Sciences,Mathematics/Statistics,T,F,US,CT,New Britain,T,bilisolyr@ccsu.edu,Program Director Roger Bilisoly,,,T,T,F,,,TRUE
077,Quinnipiac University,M1,M,Master of Science in Business Analytics,2014,,https://www.qu.edu/schools/business/programs/ms-business-analytics.html,Business,Business Analytics,FALSE,School of Business,Business/Management,T,F,US,CT,Hamden,T,graduate@qu.edu,,,,T,T,T,,,TRUE
080,University of Saint Joseph,M1,C,Graduate Certificate in Health Informatics,,,http://catalog.usj.edu/preview_program.php?catoid=9&poid=1277,Health,Health Informatics ,FALSE,School of Health and Natural Sciences,Health Informatics,T,F,US,CT,West Hartford,T,webmaster@usj.edu,,,,T,T,T,,,TRUE
081,American University,R2,M,MS Business Analytics,2015,,https://www.american.edu/kogod/graduate/analytics/,Business,Business Analytics,FALSE,Kogod School of Business,Business/Management,F,T,US,DC,"Washington, DC",T,kogodgrad@american.edu,,,,T,T,T,,,TRUE
082,American University,R2,M,Online MS Analytics,,,https://onlinebusiness.american.edu/programs/analytics/,Business,Data Analytics,FALSE,Kogod School of Business,Business/Management,T,F,US,DC,"Washington, DC",T,admissions@onlinebusiness.american.edu,,,,T,T,T,,,TRUE
083,George Washington University,R1,M,Master of Science in Data Science,2015,,https://datasci.columbian.gwu.edu/ms-data-science,Data,Data Science,TRUE,Columbian College of Arts and Sciences,Interdisciplinary,F,T,US,DC,"Washington, DC",T,datasci@gwu.edu,,,,T,T,T,https://datasci.columbian.gwu.edu/,,FALSE
084,Georgetown University,R1,M,"Master of Science in Analytics, Concentration in Data Sciences (MS-DS)",2015,,https://analytics.georgetown.edu/,Data,Data Analytics,TRUE,Departments of Computer Science and Mathematics & Statistics.,Computer Science,F,T,US,DC,"Washington, DC",T,gradanalytics@georgetown.edu,,,,T,T,T,,,TRUE
086,New College of Florida,BAS,M,Master of Data Science,,,https://www.ncf.edu/academics/graduate-program/,Data,Data Science,TRUE,Interdisciplinary,Interdisciplinary,F,T,US,FL,Sarasota,T,mcdonald@ncf.edu,Patrick McDonald,,,F,T,F,,,FALSE
087,Florida International University,R1,M,Master of Science in Health Informatics and Management Systems,,,https://business.fiu.edu/graduate/health-informatics-and-analytics/index.cfm,Health,Health Informatics ,FALSE,Chapman Graduate School of Business,Health Informatics,F,T,US,FL,Miami,T,kcousins@fiu.edu	,Karlene Cousins ,,,T,T,T,,,TRUE
088,Florida Polytechnic University,NA,B,Big Data Analytics,,,https://floridapoly.edu/degree/data-science/,Data,Data Analytics,FALSE,College of Innovation & Technology,Data Science,F,T,US,FL,Lakeland,T,fill out form,,,,T,T,T,,,TRUE
089,Full Sail University,M1,M,Master of Science in Business Intelligence,,,https://www.fullsail.edu/degrees/business-intelligence-master,Business,Business Intelligence,FALSE,Full Sail University,Business/Management,T,F,US,FL,Winter Park,T,fill out form,,,,T,T,T,,,TRUE
090,Nova Southeastern University,R2,M,Master of Science in Biomedical Informatics,,,https://osteopathic.nova.edu/msbi/ms-biomedical-informatics.html,Bio,Health Analytics,FALSE,College of Osteopathic Medicine,Health Informatics,T,T,US,FL,Fort Lauderdale,T,healthinformatics@nova.edu,,,,T,T,T,,,TRUE
091,Nova Southeastern University,R2,M,M.B.A. With A Concentration In Business Intelligence / Analytics,,,https://www.business.nova.edu/masters/mba-in-business-intelligence.html,Business,Business Intelligence,FALSE,Huizenga College of Business and Entrepreneurship.,Business/Management,T,F,US,FL,Fort Lauderdale,T,hcbeinfo@nova.edu,,,,T,T,F,,,TRUE
094,University of Central Florida,R1,M,Master of Science in Health Care Informatics,,,https://www.ucf.edu/online/degree/health-care-informatics-p-s-m/,Health,Health Analytics,FALSE,Department of Health Management & Informatics,Health Informatics,F,T,US,FL,Orlando,T,grad_web@ucf.edu,,,,T,T,T,,,TRUE
097,University of Miami,R1,M,Master of Science in Business Analytics,2014,,https://www.bus.miami.edu/academic-programs/mba-masters/masters/business-analytics/index.html,Business,Business Analytics,FALSE,Miami Herbert Business School,Business/Management,F,T,US,FL,Coral Gables,T,mba@miami.edu,,,,T,T,T,,,TRUE
099,University of South Florida,R1,C,Analytics and Business Intelligence Certificate,,,https://www.usf.edu/business/graduate/mba/analytics-business-intelligence.aspx,Business,Business Intelligence,FALSE,Muma College of Business,Business/Management,T,F,US,FL,Tampa,T,bwarner@usf.edu,Barb Warner,,,T,T,T,,,TRUE
100,University of South Florida,R1,M,MS in Health Informatics,,,https://www.usfhealthonline.com/programs/masters-degree/ms-health-informatics/,Health,Health Informatics ,FALSE,Morsani College of Medicine,Health Informatics,F,T,US,FL,Tampa,T,CustomerService@usfhealthonline.com,,,,T,T,T,,,FALSE
102,Georgia State University,R1,M,M.S. in Data Science and Analytics,2014,,https://robinson.gsu.edu/masters-programs/ms-in-analytics/,Data,Data Analytics,TRUE,J. Mack Robinson College of Business,Business/Management,F,T,US,GA,Atlanta,T,rcbgradadmissions@gsu.edu,,,,T,T,T,,,TRUE
103,Georgia Tech,R1,M,MS in Analytics,2014,,https://www.analytics.gatech.edu/,Data,Data Analytics,FALSE,"Colleges of Business, Computing, and Engineering",Business/Management,T,F,US,GA,Atlanta,T,fill out form,,,,T,T,T,,,TRUE
104,Georgia Tech,R1,M,MS - Computer Science with specialization in machine learning,,,https://www.cc.gatech.edu/future/masters/mscs/program,Data,Other,TRUE,College of Computing,Computer Science,F,T,US,GA,Atlanta,T,graduate@cc.gatech.edu,,,,F,T,T,,,TRUE
105,Kennesaw State University,R3,D,Analytics and Data Science,2015,,https://graduate.kennesaw.edu/datascience/,Data,Data Science,TRUE,Department of Statistics and Analytical Sciences,Mathematics/Statistics,F,T,US,GA,Kennesaw,T,shayes32@kennesaw.edu,,,,T,T,F,,,TRUE
107,Kennesaw State University,R3,M,Master of Science in Applied Statistics,,,https://csm.kennesaw.edu/statistics/msas/,Math,Applied Statistics,FALSE,Department of Mathematics & Statistics,Mathematics/Statistics,F,T,US,GA,Kennesaw,T,mfranke1@kennesaw.edu,Michael Frankel,,,T,T,T,,,FALSE
108,Mercer University,R3,M,Master of Science in Business Analytics,2015,,http://business.mercer.edu/programs/business-analytics/,Business,Business Analytics,FALSE,Stetson-Hatcher School of Business,Business/Management,F,T,US,GA,Macon,T,business.admissions@mercer.edu,,,,T,T,T,,,FALSE
110,Loras College,BDF,M,MBA - Business Analytics,,,https://www.loras.edu/majors-programs/business-analytics/,Business,Business Analytics,FALSE,Liberal Arts,Business/Management,T,F,US,IA,Dubuque,T,dale.lehman@loras.edu,"Dale Lehman, Ph.D",,,T,T,T,,,FALSE
112,Luther College,BAS,B,Data Science,,,https://www.luther.edu/computer-science/data-science-major/,Data,Data Science,TRUE,Computer Science,Computer Science,F,T,US,IA,Decorah,T,leekentd@luther.edu,Kent Lee,,,T,T,T,,,TRUE
113,University of Iowa,R1,B,Business Analytics,,,https://tippie.uiowa.edu/future-undergraduates/majors/business-analytics-information-systems-major,Business,Business Analytics,FALSE,Business,Business/Management,F,T,US,IA,Iowa City,T,business-undergrad@uiowa.edu,,,,T,T,F,,,TRUE
114,University of Iowa,R1,C,Business Analytics Certificate Program,,,https://tippie.uiowa.edu/business-analytics,Business,Business Analytics,FALSE,Business,Business/Management,F,T,US,IA,Cedar Rapids,T,tippie-analytics@uiowa.edu,,,,T,T,F,,,TRUE
116,Aurora University,M1,M,Master of Science in Digital Marketing and Analytics,,,https://aurora.edu/academics/graduate/digital-marketing/index.html,Business,Data Analytics,FALSE,Dunham School of Business,Business/Management,F,T,US,IL,Aurora,T,tarquett@aurora.edu,,,,T,T,T,,,FALSE
117,Benedictine University,R3,M,Master of Science in Business Analytics,2013,,http://www.ben.edu/college-of-business/graduate/msba-master-of-science-in-business-analytics.cfm,Business,Business Analytics,FALSE,College of Business,Business/Management,F,T,US,IL,Lisle,T,psorensen@ben.edu,,,,T,T,T,,,TRUE
118,DePaul University,R3,M,M.S. in Data Science,2010,,https://www.cdm.depaul.edu/academics/Pages/MS-in-Data-Science.aspx,Data,Predictive Analytics,TRUE,College of Computing and Digital Media,Computer Science,F,T,US,IL,Chicago,T,admission@cdm.depaul.edu,,,,T,T,T,,,TRUE
119,DePaul University,R3,M,Information Systems (MS) - Business Intelligence Concentration,,,https://www.cdm.depaul.edu/academics/Pages/MS-in-Information-Systems.aspx,Business,Business Intelligence,FALSE,College of Computing and Digital Media,Computer Science,T,F,US,IL,Chicago,T,admission@cdm.depaul.edu,,,,T,T,T,,,FALSE
120,Elmhurst College,M1,M,M.S. in Data Science,2014,,https://www.elmhurst.edu/academics/departments/computer-science-information-systems/programs/m-s-data-science/data-science-graduate-certificate/,Data,Data Science,TRUE,Elmhurst College Online Center,Data Science,F,T,US,IL,Elmhurst,T,jimk@elmhurst.edu,"James Kulich, Ph.D.",,,T,T,T,,,TRUE
122,Illinois Institute of Technology,R2,M,MS - CS specialization in Data Analytics (with co-terminal BS/MS option),,,https://www.iit.edu/academics/programs/computer-science-mas,Data,Data Analytics,FALSE,College of Science,Data Science,T,F,US,IL,Chicago,T,science@iit.edu,,,,T,T,T,,,TRUE
123,Illinois Institute of Technology,R2,M,Master of Data Science,2013,,https://www.iit.edu/academics/programs/data-science-mas,Data,Data Science,TRUE,College of Science,Data Science,T,T,US,IL,Chicago,T,datascience@iit.edu,,,,T,T,T,,,TRUE
124,Illinois Institute of Technology,R2,M,Data Analytics,,,https://www.iit.edu/academics/programs/computer-science-mas,Data,Data Analytics,FALSE,Computer Science,Data Science,F,T,US,IL,Chicago,T,science@iit.edu,,,,T,T,T,,,TRUE
125,Lewis University,M1,M,Data Science,2014,,https://www.lewisu.edu/academics/data-science/index.htm,Data,Data Science,TRUE,Computer Science,Data Science,T,T,US,IL,Romeoville,T,grad@lewisu.edu,,,,T,T,T,,,TRUE
126,Lewis University,M1,M,"Business Analytics, M.S.",2014,,https://www.lewisu.edu/academics/business-analytics/index.htm,Business,Business Analytics,FALSE,College of Business,Business/Management,T,F,US,IL,Romeoville,T,grad@lewisu.edu,,,,T,T,T,,,TRUE
127,Loyola University Chicago,R2,M,M.S. in Applied Statistics,,,https://www.luc.edu/math/msappliedstat/index.shtml,Math,Applied Statistics,FALSE,Mathematics and Statistics,Mathematics/Statistics,F,T,US,IL,Chicago,T,info@math.luc.edu,,,,T,T,T,,,TRUE
128,Loyola University Chicago,R2,C,Graduate Certificate in Business Data Analytics Certificate,,,https://www.luc.edu/quinlan/certificates/business-data-analytics/,Business,Business Intelligence,FALSE,Quinlan School of Business,Business/Management,F,T,US,IL,Chicago,T,info@math.luc.edu,,,,T,T,T,,,FALSE
129,Northwestern University,R1,C,Certificate in Analytics and Business Intelligence for IT Professionals,,,https://sps.northwestern.edu/professional-development/business-analytics/program-courses.php?course_id=4221,Business,Business Analytics,FALSE,School of Professional Studies,Business/Management,T,T,US,IL,Evanston,T,fill out form,,,,T,T,F,,,TRUE
130,Northwestern University,R1,M,Master of Science in Information Systems with Concentration in Analytics and Business Intelligence,,,https://sps.northwestern.edu/masters/information-systems/index.php,Business,Business Intelligence,FALSE,School of Professional Studies,Business/Management,F,T,US,IL,Evanston,T,fill out form,,,,T,T,T,,,TRUE
131,Northwestern University,R1,C,Certificate in Predictive Business Analytics,,,https://sps.northwestern.edu/professional-development/business-analytics/program-courses.php?course_id=4221,Business,Predictive Analytics,FALSE,Bridge School of Management,Business/Management,F,T,US,IL,Evanston,T,profdev@northwestern.edu,,,,T,T,T,,,TRUE
132,Northwestern University,R1,M,Master of Science in Analytics,2012,,https://www.mccormick.northwestern.edu/analytics/,Data,Data Analytics,FALSE,McCormick School of Engineering,Engineering (general),F,T,US,IL,Evanston,T,edward.lavino@northwestern.edu,Edward Lavino,,,T,T,T,,,TRUE
133,Northwestern University,R1,M,Master of Science in Data Science Online,2011,,https://sps.northwestern.edu/masters/data-science/index.php,Data,Data Science,TRUE,School of Continuing Studies,Interdisciplinary,T,F,US,IL,Evanston,T,studysps@northwestern.edu,,,,T,T,T,,,TRUE
134,University of Chicago,R1,M,Master of Science in Computational Analysis & Public Policy (CAPP),,,https://capp.uchicago.edu/,Social,Data Analytics,FALSE,Harris School of Public Policy & Computer Science Department,Computer Science,F,T,US,IL,Chicago,T,capp@uchicago.edu,,,,T,T,F,,,TRUE
135,University of Chicago,R1,M,Master of Science in Analytics,2014,,https://grahamschool.uchicago.edu/academic-programs/masters-degrees/analytics,Data,Data Analytics,FALSE,Graham School of Continuing Liberal and Professional Studies,Data Science,F,T,US,IL,Chicago,T,analytics-admissions@uchicago.edu,,,,T,T,T,,,TRUE
137,University of Illinois at Chicago,R1,M,Master of Science in Health Informatics,,,https://healthinformatics.uic.edu/health-informatics-degrees/,Health,Health Informatics ,FALSE,Biomedical and Health Information Sciences,Health Informatics,T,F,US,IL,Chicago,T,fill out form,,,,T,T,F,,,TRUE
